split,AUC_mean,AUC_std,Sensitivity_mean,Specificity_mean,Balanced_ACC_mean,C17_AUC_mean,C27_AUC_mean,C32_AUC_mean,C33_minus_C17_AUC_mean,C33_minus_C27_AUC_mean,C33_minus_C32_AUC_mean
val,0.871133242794628,0.0141305174089144,0.7659574468085105,0.7588652482269503,0.7624113475177304,0.8696242643730194,0.8822996831145314,0.8743020974800061,0.0015089784216085,-0.0111664403199034,-0.003168854685378
test,0.8471277399848828,0.02418671460513857,0.8095238095238094,0.7063492063492064,0.7579365079365079,,,,,,
