seed,c17_tp_to_c33_fn,c17_fn_to_c33_tp,c33_sensitivity,c17_sensitivity,c27_sensitivity,c32_sensitivity,c33_minus_c17_sensitivity,c27_material_positive_damage_count,c32_material_positive_damage_count,c33_material_positive_damage_count,c33_minus_c27_material_damage,c33_minus_c32_material_damage
0,5,10,0.851063829787234,0.7446808510638298,0.851063829787234,0.8297872340425532,0.1063829787234043,12,14,13,1,-1
42,15,2,0.5957446808510638,0.8723404255319149,0.723404255319149,0.6808510638297872,-0.27659574468085113,21,27,30,9,3
3407,3,6,0.851063829787234,0.7872340425531915,0.8085106382978723,0.7872340425531915,0.06382978723404253,9,13,7,-2,-6
