seed,epoch,train_bce_loss,val_auc,val_sensitivity,val_specificity,val_balanced_accuracy,val_positive_probability_mean,val_negative_probability_mean,val_positive_negative_gap,pairwise_inversion_count,selected_by_val_auc,image_grad_norm,image_relative_drift,text_grad_norm,text_relative_drift,bio_grad_norm,bio_relative_drift,patient_projection_grad_norm,patient_projection_relative_drift,classifier_grad_norm,classifier_relative_drift
0,1,0.4201229289420788,0.8872793119058398,0.851063829787234,0.6808510638297872,0.7659574468085106,0.7400221637588866,0.3032097537962204,0.4368124099626662,249,True,0.5430378517063245,0.0167958980719224,6.615762418184788,0.0056174499356157,0.5895101830813237,0.0051112982168181,3.366312761076549,0.0082390197691724,2.819297678467349,0.0014678495279395
0,2,0.4146965968095704,0.8800362154821186,0.723404255319149,0.7872340425531915,0.7553191489361702,0.6770330418614631,0.2478450436957497,0.4291879981657133,265,False,0.569016191353698,0.0274525213304635,7.121166672499168,0.0086357487117149,0.6238201289379532,0.0093114617362504,3.579269156860385,0.0137592133001323,2.7231991823223414,0.0029830487141278
0,3,0.4170963546100831,0.8804889090086012,0.723404255319149,0.8085106382978723,0.7659574468085106,0.6764381618258801,0.2505234399255603,0.4259147219003198,264,False,0.6393501050268899,0.0381045802863291,7.660752248761264,0.0105595959319167,0.6734776055699215,0.0107721186620629,3.816759617296708,0.0164663312391192,2.851550414447974,0.0036275452495765
0,4,0.3942571166434035,0.8768673607967407,0.8936170212765957,0.6595744680851063,0.776595744680851,0.7669362432145058,0.3260161220789589,0.4409201211355468,272,False,0.6524441122871018,0.0519062011091529,7.842884088939757,0.0131509964685543,0.6927823320604192,0.0126598706774776,3.906014551654832,0.0177272051996309,2.7785797032041057,0.0040984247552189
0,5,0.3914602954705424,0.8822996831145314,0.7446808510638298,0.7872340425531915,0.7659574468085106,0.7017059118506757,0.256389651497073,0.4453162603536026,260,False,0.6590942543425752,0.060304212668749,7.841801129471934,0.0143402998426574,0.6942091023975696,0.0143522074003392,3.899416887374371,0.0203083157462433,2.754626682108231,0.0052540681158632
0,6,0.3772527150908448,0.8709823449524672,0.8297872340425532,0.6595744680851063,0.7446808510638298,0.7298359084636608,0.2962559694919656,0.4335799389716951,285,False,0.7330579184022434,0.0723697010216303,8.47964518995974,0.0165727070711553,0.7287154431568541,0.0169345281006752,4.115375319248336,0.022346622486628,2.793419704171036,0.0059172754842923
0,7,0.3850528913617924,0.8809416025350838,0.8085106382978723,0.6808510638297872,0.7446808510638298,0.7507926828049599,0.2901459527499181,0.4606467300550418,263,False,0.7556959490877109,0.0855661384310753,8.613032758156931,0.0188816208757326,0.7462763916891596,0.0186891841342547,4.219471815534297,0.0247982630124165,2.7643883052971137,0.0067034840038664
0,8,0.3627458698307441,0.8641919420552286,0.7446808510638298,0.7021276595744681,0.7234042553191489,0.6939645388976057,0.2698812679625413,0.4240832709350643,300,False,0.7847494817566575,0.1007414585202258,8.725181706089904,0.0211250319680795,0.7421387653338256,0.0210864490627903,4.209486387689441,0.0281579075691722,2.700248097675747,0.0080540499417754
0,9,0.3633565257075212,0.8673607967406066,0.7659574468085106,0.6808510638297872,0.7234042553191489,0.7258264333643811,0.2953544442462635,0.4304719891181175,293,False,0.850375843654062,0.1106311410156478,9.215369888847835,0.0229029824399303,0.7734199597386814,0.0227363335129521,4.471753933351354,0.0293143548779142,2.650531387590366,0.0089823769617946
42,1,0.4406835854250863,0.8610230873698506,0.5957446808510638,0.8723404255319149,0.7340425531914894,0.5585973245349336,0.2035247041209739,0.3550726204139596,307,True,1.187587994861634,0.0116830676940194,7.047483747150118,0.0046820677689527,0.9800686125786532,0.0106262636109953,4.178487387570686,0.0116194993162255,2.991953669854256,0.0039049017458962
42,2,0.4294354796212241,0.8560434585785424,0.8085106382978723,0.7872340425531915,0.7978723404255319,0.6714581701349704,0.279378353756793,0.3920798163781774,318,False,1.278545967865491,0.0174673984598902,7.417070590525905,0.0069264548963216,1.0475116922363366,0.0148581448233149,4.395999556593168,0.0145992470112304,3.04784422628245,0.0027528404202905
42,3,0.4185399269031373,0.8546853779990946,0.8085106382978723,0.723404255319149,0.7659574468085106,0.7536358392619072,0.3290161759136839,0.4246196633482233,321,False,1.2590142706688887,0.0234564025108021,7.361297192891809,0.0093260692960906,1.0580726362060606,0.0172752050779899,4.33760217532872,0.0204860963195145,2.898922345842609,0.0062814016116178
42,4,0.4204150946527127,0.8492530556813037,0.8085106382978723,0.7872340425531915,0.7978723404255319,0.7144193192745777,0.3063777339188976,0.40804158535568,333,False,1.385650583239078,0.0271314369993143,7.995982432500845,0.0109346572439451,1.1424361543139294,0.0196922341497808,4.6442288875938775,0.022675307331394,2.851453358823474,0.006830879715353
42,5,0.4254455797818323,0.8578542326844726,0.8085106382978723,0.7659574468085106,0.7872340425531914,0.7358756017811755,0.3124082611794484,0.4234673406017271,314,False,1.3999241903074524,0.0313019786302336,8.376802712400393,0.0127092386533088,1.1860883170974006,0.0200888610136427,4.842175202689547,0.0266635995254964,2.987005699160639,0.008611519083847
42,6,0.432914516413646,0.8560434585785424,0.6808510638297872,0.851063829787234,0.7659574468085106,0.6268024186187602,0.2343736494237438,0.3924287691950163,318,False,1.4206594207007317,0.0361653590630976,8.209899380725021,0.014035154008937,1.1162519923878076,0.0224107409436344,4.7922510284801785,0.025731606651125,2.9281121335477915,0.0063998165951528
42,7,0.407661144011068,0.8528746038931643,0.8297872340425532,0.6595744680851063,0.7446808510638298,0.7814504497862876,0.3549149840911652,0.4265354656951224,325,False,1.3570708522193662,0.0406401448044707,8.159706777566207,0.0165687433195645,1.1587909381750348,0.0232117356205677,4.725117364641451,0.032904744953074,2.852123991984524,0.0112229083447636
42,8,0.4190352050871249,0.8578542326844727,0.7872340425531915,0.8297872340425532,0.8085106382978724,0.6770731274117815,0.2719388064987799,0.4051343209130016,314,False,1.4699982982483817,0.0441016325902752,8.73672666842115,0.0175876971567017,1.216479289177731,0.0252335935161446,5.021718024542111,0.0308646107461906,2.930104194997641,0.0086068400498805
42,9,0.4150052892648621,0.8564961521050249,0.7872340425531915,0.8297872340425532,0.8085106382978724,0.6852959036192996,0.277134211139476,0.4081616924798235,317,False,1.4248082548227323,0.0482016917184968,8.537826208012804,0.0190475378750771,1.1839970713954424,0.0267523634090071,4.945364603067844,0.0336190931419731,2.885096681199365,0.009993354666385
3407,1,0.4858722002399678,0.8637392485287461,0.7659574468085106,0.7872340425531915,0.7765957446808511,0.6495646744015369,0.2493005081258238,0.400264166275713,301,False,0.9781973656000972,0.0132285950470064,6.337460857331816,0.0044172861039359,0.8026131320106371,0.005824109117461,3.528489846506589,0.0086292309813975,3.115708459274157,0.0012722112802957
3407,2,0.4734662492444973,0.8614757808963333,0.7659574468085106,0.7872340425531915,0.7765957446808511,0.6868587775116272,0.2758430329924251,0.411015744519202,306,False,0.8676244095425838,0.020674394470374,5.770459445555531,0.0072012194017809,0.7027052292199564,0.0100662334547103,3.24541808815253,0.0121073301084947,2.7806676502059657,0.0018199722468216
3407,3,0.4658305689396447,0.8623811679492983,0.7659574468085106,0.8297872340425532,0.7978723404255319,0.6458141500962541,0.2447498823377363,0.4010642677585178,304,False,1.0489837069543873,0.0269244769807373,6.437293155440025,0.0095318832659727,0.7918389732143869,0.0136445575365172,3.53641049149271,0.0160553840294642,3.005995024612143,0.0024891719691344
3407,4,0.4685337158623121,0.8551380715255772,0.8085106382978723,0.7446808510638298,0.776595744680851,0.7067245676162395,0.3008976069457353,0.4058269606705041,320,False,1.129606771041979,0.0343614362229677,6.607239270426847,0.012658868285069,0.7990181300883499,0.0175476370269302,3.6007322161577933,0.0189007123332708,3.054364810702248,0.0030536897539805
3407,5,0.4636095656661798,0.8650973291081937,0.851063829787234,0.723404255319149,0.7872340425531915,0.7600680378840324,0.3218651007107915,0.4382029371732409,298,True,1.164064296093124,0.0409118529382876,6.8658387526860825,0.0148181806235583,0.8220035251640148,0.0201864210246524,3.710759730908612,0.0224965154632776,3.058479511187299,0.0040583557719832
3407,6,0.4673413483314956,0.8592123132639202,0.7659574468085106,0.8085106382978723,0.7872340425531914,0.6737396984182774,0.2607191874982512,0.4130205109200262,311,False,1.235590129063262,0.0425324708291628,7.290196068402433,0.0167433266157257,0.8467619678819596,0.0219460126142119,3.92567457583912,0.0232958832912872,3.157291908283689,0.0037534142708286
3407,7,0.4585607710559636,0.8546853779990946,0.7659574468085106,0.8085106382978723,0.7872340425531914,0.6639057905908595,0.2612821252897699,0.4026236653010896,321,False,1.2469131768673878,0.0475331083826335,7.27679127688215,0.0184370409956868,0.8359019515007429,0.0236229462240783,3.8959900914568175,0.0252544779089026,3.1513727316838067,0.0042821992287837
3407,8,0.4500982383426452,0.8555907650520598,0.7446808510638298,0.8297872340425532,0.7872340425531914,0.6430730739648037,0.2455669814879272,0.3975060924768764,319,False,1.3402418788632409,0.052455822080014,7.83802959749522,0.021077243976142,0.8822414621357433,0.0265358016565229,4.09758892349342,0.0278479940343178,3.260859674112706,0.0049696778718077
3407,9,0.4590958691886718,0.8569488456315074,0.7021276595744681,0.851063829787234,0.7765957446808511,0.6240609581483171,0.2331208536559914,0.3909401044923257,316,False,1.2902533590483365,0.0546787086173545,7.610547555399035,0.0229093441419125,0.8666663780961266,0.0273209282725114,4.057047845051654,0.0307979529896225,3.1223706749917017,0.0056826751061384
3407,10,0.4461139927291317,0.8546853779990945,0.7872340425531915,0.7659574468085106,0.7765957446808511,0.7052525494326937,0.2873694263993108,0.4178831230333828,321,False,1.289316704434324,0.0577179929751153,7.49515439546826,0.0241360227323512,0.8421537007925992,0.0307506094517036,3.908617533955393,0.0309800913712375,3.013747767690868,0.0054657635670949
