seed,category,parameter_count,relative_drift_mean,relative_drift_median,relative_drift_maximum,selected_epoch_gradient_norm,health_pass,patient_state_cosine_mean,patient_state_cosine_minimum,patient_state_l2_delta_mean,patient_state_l2_delta_maximum
0,image,397056,0.016795898071922413,0.0035562789617995,0.0726623980806939,0.5430378517063245,True,,,,
0,text,397313,0.005617449935615766,0.0001128169495207,0.0416434193108885,6.615762418184788,True,,,,
0,bio,199424,0.005111298216818131,0.0013809345927509001,0.0304811448155055,0.5895101830813237,True,,,,
0,patient_projection,395264,0.008239019769172375,0.0073986480024580996,0.0180541704012733,3.366312761076549,True,,,,
0,classifier,257,0.0014678495279395248,0.0014678495279395248,0.002875915321167,2.819297678467349,True,,,,
42,image,397056,0.011683067694019392,0.002649794993231,0.0387645730682486,1.187587994861634,True,,,,
42,text,397313,0.004682067768952694,0.0001078043165331,0.0278951839422395,7.047483747150118,True,,,,
42,bio,199424,0.01062626361099527,0.001473705142891,0.0521726459970055,0.9800686125786532,True,,,,
42,patient_projection,395264,0.011619499316225475,0.0070410375622026004,0.032287413615155,4.178487387570686,True,,,,
42,classifier,257,0.0039049017458962,0.0039049017458962,0.0048829334230905,2.991953669854256,True,,,,
3407,image,397056,0.04091185293828765,0.0112152317802883,0.1513479091878657,1.164064296093124,True,,,,
3407,text,397313,0.014818180623558327,0.0003455157124157,0.0934983560378727,6.8658387526860825,True,,,,
3407,bio,199424,0.020186421024652432,0.0039291656521254,0.1051426414601389,0.8220035251640148,True,,,,
3407,patient_projection,395264,0.0224965154632776,0.0191890472521068,0.0513607666901479,3.710759730908612,True,,,,
3407,classifier,257,0.0040583557719832,0.0040583557719832,0.0068707321071038,3.058479511187299,True,,,,
all,patient_state,0,,,,,True,0.9897539765699536,0.9260036945343018,2.157815864745607,6.153409004211426
