seed,split,best_epoch,AUC,Sensitivity,Specificity,Balanced_ACC,TN,FP,FN,TP,bce_loss,positive_probability_mean,negative_probability_mean,positive_negative_gap,pairwise_inversion_count,prediction_std,n_rows,image_grad_norm,text_grad_norm,bio_grad_norm,patient_projection_grad_norm,classifier_grad_norm,C17_AUC,C27_AUC,C32_AUC,C33_minus_C17_AUC,C33_minus_C27_AUC,C33_minus_C32_AUC,minor_AUC_variation_vs_C27
0,val,1,0.8872793119058398,0.851063829787234,0.6808510638297872,0.7659574468085106,32,15,7,40,0.4183343922098477,0.7400221637588866,0.3032097537962204,0.4368124099626662,249,0.3214013597284897,94,0.0,0.0,0.0,0.0,0.0,0.8700769578995021,0.901765504753282,0.8940697148030783,0.0172023540063376,-0.0144861928474422,-0.0067904028972385,False
42,val,1,0.8610230873698506,0.5957446808510638,0.8723404255319149,0.7340425531914894,41,6,19,28,0.5076686358079314,0.5585973245349336,0.2035247041209739,0.3550726204139596,307,0.2942487307987189,94,0.0,0.0,0.0,0.0,0.0,0.8768673607967407,0.8714350384789498,0.8646446355817112,-0.0158442734268901,-0.0104119511090992,-0.0036215482118606,False
3407,val,5,0.8650973291081937,0.851063829787234,0.723404255319149,0.7872340425531915,34,13,7,40,0.4694041488692164,0.7600680378840324,0.3218651007107915,0.4382029371732409,298,0.3422363197746399,94,0.0,0.0,0.0,0.0,0.0,0.8619284744228157,0.8736985061113627,0.8641919420552286,0.0031688546853779,-0.0086011770031689,0.000905387052965,False
0,test,1,0.8242630385487528,0.8809523809523809,0.6428571428571429,0.7619047619047619,27,15,5,37,0.5134703520508039,0.7482096833132562,0.3614769189818097,0.3867327643314465,310,0.3277053082788307,84,0.0,0.0,0.0,0.0,0.0,,,,,,,
42,test,1,0.8724489795918366,0.6666666666666666,0.8333333333333334,0.75,35,7,14,28,0.4631808925242651,0.5892426538325491,0.2194543213783098,0.3697883324542393,225,0.2873311155542771,84,0.0,0.0,0.0,0.0,0.0,,,,,,,
3407,test,5,0.844671201814059,0.8809523809523809,0.6428571428571429,0.7619047619047619,27,15,5,37,0.4982812503973643,0.7906127614634377,0.3647463101051038,0.4258664513583339,274,0.335849817698215,84,0.0,0.0,0.0,0.0,0.0,,,,,,,
