bio_index,field_name,semantic_group,manifest_rows,manifest_observed_count,manifest_observed_fraction,manifest_min,manifest_median,manifest_max,source_column_present,source_column,source_dtype,source_observed_count,reference_range_columns,reference_range_available,trusted_abnormal_metadata_rows,abnormal_flag_value_count,abnormal_flag_one_count,allowed_c16_mea_semantics,allowed_rule_direction,prohibited_use,train_label0_observed_fraction,train_label1_observed_fraction,val_label0_observed_fraction,val_label1_observed_fraction,test_label0_observed_fraction,test_label1_observed_fraction
0,sex,other_observed,780,780,1.0,0.0,0.0,1.0,1,sex,int64,9180,,0,0,780,0,other_observed_continuous_values_with_validity_mask,latent_only; no rule-based abnormal/support direction,"untrusted abnormal flags, invented reference ranges, or missingness count as evidence",1.0,1.0,1.0,1.0,1.0,1.0
1,age,other_observed,780,780,1.0,23.0,56.0,96.0,1,age,int64,9180,,0,0,780,0,other_observed_continuous_values_with_validity_mask,latent_only; no rule-based abnormal/support direction,"untrusted abnormal flags, invented reference ranges, or missingness count as evidence",1.0,1.0,1.0,1.0,1.0,1.0
2,TgAb,immune_observed,780,44,0.05641025641025641,12.8,19.45,955.0,1,TgAb,float64,2787,,0,0,780,0,immune_observed_continuous_values_with_validity_mask,latent_only; no rule-based abnormal/support direction,"untrusted abnormal flags, invented reference ranges, or missingness count as evidence",0.059800664451827246,0.059800664451827246,0.06382978723404255,0.06382978723404255,0.023809523809523808,0.023809523809523808
3,FT3,thyroid_function_observed,780,780,1.0,2.31,4.5,20.77,1,FT3,float64,8392,,0,0,780,0,thyroid_function_observed_continuous_values_with_validity_mask,latent_only; no rule-based abnormal/support direction,"untrusted abnormal flags, invented reference ranges, or missingness count as evidence",1.0,1.0,1.0,1.0,1.0,1.0
4,FT4,thyroid_function_observed,780,780,1.0,7.63,16.6,77.89,1,FT4,float64,8392,,0,0,780,0,thyroid_function_observed_continuous_values_with_validity_mask,latent_only; no rule-based abnormal/support direction,"untrusted abnormal flags, invented reference ranges, or missingness count as evidence",1.0,1.0,1.0,1.0,1.0,1.0
5,TPOAb,immune_observed,780,42,0.05384615384615385,9.36,18.55,446.0,1,TPOAb,float64,2360,,0,0,780,0,immune_observed_continuous_values_with_validity_mask,latent_only; no rule-based abnormal/support direction,"untrusted abnormal flags, invented reference ranges, or missingness count as evidence",0.05647840531561462,0.05647840531561462,0.06382978723404255,0.06382978723404255,0.023809523809523808,0.023809523809523808
6,TSH,thyroid_function_observed,780,780,1.0,0.005,1.97,64.7,1,TSH,float64,8358,,0,0,780,0,thyroid_function_observed_continuous_values_with_validity_mask,latent_only; no rule-based abnormal/support direction,"untrusted abnormal flags, invented reference ranges, or missingness count as evidence",1.0,1.0,1.0,1.0,1.0,1.0
