role,cohort,n_patients,n_rows,mean_pred_prob,std_pred_prob,mean_logit,std_logit,mean_text_classifier_contribution,std_text_classifier_contribution,mean_image_classifier_contribution,std_image_classifier_contribution,mean_bio_classifier_contribution,std_bio_classifier_contribution,mean_text_embedding_norm,std_text_embedding_norm,mean_image_embedding_norm,std_image_embedding_norm,mean_bio_embedding_norm,std_bio_embedding_norm,mean_report_length,std_report_length,mean_selected_n_visits,std_selected_n_visits,mean_used_images,std_used_images,mean_has_bio,std_has_bio,mean_bio_missing_count,std_bio_missing_count,mean_full_report_morphology_term_count,std_full_report_morphology_term_count,mean_full_report_diffuse_ht_term_count,std_full_report_diffuse_ht_term_count,mean_first256_morphology_term_count,std_first256_morphology_term_count,mean_first256_diffuse_ht_term_count,std_first256_diffuse_ht_term_count,mean_full_report_negative_term_count,std_full_report_negative_term_count,mean_evidence_exposed_in_first256,std_evidence_exposed_in_first256,mean_positive_negative_overlap,std_positive_negative_overlap
positive,hard_all_seed,36,108,0.5253290321022548,0.20242290408190228,0.09512093359673465,1.020108113907343,0.051382164263890834,0.07192075105930298,-0.391979040681488,0.5802628404002472,-0.07413395618398984,0.2339577948972917,1.5917672757749204,0.1348213563271532,15.105006253277814,0.9604693726354903,15.947278640888355,0.0035307805309511622,806.1388888888889,535.9460577252876,2.5555555555555554,1.4682517631099203,10.222222222222221,5.873007052439681,1.0,0.0,1.9444444444444444,0.33020337356358515,3.5555555555555554,1.4872249346452373,1.5555555555555556,0.7277327913295677,2.7777777777777777,1.0077580681828051,1.5277777777777777,0.6898236715417315,3.111111111111111,2.020147738343709,0.9722222222222222,0.16510168678179257,0.7777777777777778,0.41767790061294385
positive,nonhard_validation,11,33,0.8514987916657419,0.09683134230420974,2.096011501370054,1.169508516740013,0.12328618990652483,0.06348057968980465,-0.2576168524948033,0.5647250216678278,-0.026296521791002964,0.2680424422359895,1.688486641103571,0.14518685426895128,15.593291484948361,0.3684708430938596,15.948755033088453,0.005307023113386749,497.45454545454544,217.84557186644437,1.6363636363636365,0.6527912098338668,6.545454545454546,2.6111648393354674,1.0,0.0,1.6363636363636365,0.7833494518006403,3.3636363636363638,1.1677484162422844,1.6363636363636365,0.6527912098338668,3.0,1.0606601717798212,1.6363636363636365,0.6527912098338668,3.272727272727273,2.2950044563236593,1.0,0.0,1.0,0.0
negative,hard_all_seed,43,129,0.27573074354219806,0.20988150068148617,-1.181302317353182,1.1502497827819183,-0.05735359843387159,0.15900510183478272,-0.42777558387249937,0.5922277709293198,-0.10005159456600513,0.23151966095373241,1.9903255821198456,2.178437207520828,15.23336044577665,0.6816648538300889,15.948611806529437,0.007821348766679323,805.1627906976744,613.0257920590708,2.4651162790697674,1.3752642452220032,9.86046511627907,5.501056980888013,1.0,0.0,1.8604651162790697,0.5114957546028551,,,,,,,,,,,,,,
negative,nonhard_validation,4,12,0.0563738831939796,0.024964586157795954,-2.9216243426005044,0.523080083202825,-0.12495289075498776,0.10883065313227587,-0.23794271827985844,0.6699878860490682,-0.07338609918951984,0.234066380149613,1.7075442870457966,0.18956445088509272,15.634848833084106,0.38610810368282694,15.946672360102335,0.0028049477406378014,299.5,67.30730069816147,1.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,,,,,,,,,,,,,,
