role,n_patients,total_inversion_count,mean_inversion_share,mean_image_opposed_rate,mean_image_repair_rate,mean_text_driven_rate,mean_fusion_interaction_rate
negative,43,878,0.02307186966233078,0.5868451510091353,0.2406133391257233,0.3423931397485041,0.07036754290416587
positive,36,874,0.027432517263025695,0.18725072847087587,0.06129275165085365,0.6841292823767902,0.12553356939924756
