seed,confidence_group,n,mean_abs_delta,mean_delta,mean_gate
0,low,35,0.04830534906692001,0.022796661920645916,0.705049261876515
0,medium,44,0.02333071673505893,-0.0031079801913371937,0.2813591327179562
0,high,15,0.00814175455986206,-0.0067195507464929945,0.08719515670090912
42,low,32,0.0015338202927068444,-0.001433483429309472,0.6844603391364217
42,medium,34,0.0010762495221302137,-0.0010751323295473767,0.24707803480765395
42,high,28,0.00040533213236769374,-0.00038305793060744567,0.08054096557732135
3407,low,40,0.0033267579361563075,0.0020470953488256525,0.672777533531189
3407,medium,38,0.0018235835649599472,0.00044585868798953685,0.2685415834972733
3407,high,16,0.0006378300661253407,0.00023470519795407824,0.09006337070604781
