seed,split,best_epoch,AUC,Sensitivity,Specificity,Balanced_ACC,TN,FP,FN,TP,positive_prob_mean,negative_prob_mean,probability_gap,confidence_gate_mean,confidence_gate_positive_mean,confidence_gate_negative_mean,mixed_class_batch_count,single_class_batch_count,mixed_class_batch_fraction,pair_count,delta_mean,delta_median,delta_std,positive_delta_mean,negative_delta_mean,correct_positive_delta_mean,correct_negative_delta_mean,incorrect_positive_delta_mean,incorrect_negative_delta_mean,fraction_correct_positive_wrong_direction,fraction_correct_negative_wrong_direction,positive_delta_fraction,negative_delta_fraction,mean_abs_delta_low,mean_abs_delta_medium,mean_abs_delta_high,fraction_near_negative_bound,fraction_near_positive_bound,pairwise_inversion_count,n_rows
0,val,9,0.8718877320054322,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.6173003583829454,0.2789892152031051,0.3383111431798402,0.4081324825083163,0.4695399520680942,0.3467250129485384,0,0,0.0,0,0.0059610508255997,-0.0015403482248075,0.0388694192728679,0.0150989820806686,-0.0031768804294691,0.0219023170032804,-0.0106849138408304,-0.0047440781102826,0.0213948652804405,0.2571428571428571,0.2222222222222222,0.4787234042553192,0.5212765957446809,0.04830534906692,0.0233307167350589,0.0081417545598621,0.0,0.0,283,94
0,test,9,0.8480725623582768,0.7380952380952381,0.7619047619047619,0.75,32,10,11,31,0.6366692043486095,0.3184967891623576,0.3181724151862519,0.4160697101615369,0.4558427026938824,0.3762967176291914,0,0,0.0,0,0.0017214054077201,-0.0034889455419033,0.0365485361761189,0.0041258589453285,-0.0006830481298883,0.0060582462878477,-0.0083597124316838,-0.0013199599290435,0.0238822776358574,0.4193548387096774,0.28125,0.4642857142857143,0.5357142857142857,0.0448221963068301,0.0208379474355751,0.0050834040792489,0.0,0.0,268,84
42,val,1,0.8768673607967407,0.8723404255319149,0.8085106382978723,0.8404255319148937,38,9,6,41,0.7281140981519476,0.3258408340526388,0.4022732640993088,0.3463673518296886,0.345541506609384,0.3471931970499931,0,0,0.0,0,-0.0009909743723353,-0.0003010476793861,0.0021271734113398,-0.0011160688042977,-0.000865879940373,-0.0012008676769211,-0.0008605091739812,-0.0005366098413711,-0.0008885565095826,0.902439024390244,0.2368421052631578,0.1702127659574468,0.8297872340425532,0.0015338202927068,0.0010762495221302,0.0004053321323677,0.0,0.0,272,94
42,test,1,0.844671201814059,0.8095238095238095,0.7142857142857143,0.7619047619047619,30,12,8,34,0.7429561331158593,0.354870191309601,0.3880859418062582,0.2804088840327625,0.2784206734171935,0.2823970946483314,0,0,0.0,0,-0.0010494877262711,-0.0004546996642602,0.0016605637503284,-0.0013160214613681,-0.000782953991174,-0.0015269180263096,-0.000503735470708,-0.0004197110603669,-0.0014810002923392,0.8823529411764706,0.3,0.2023809523809523,0.7976190476190477,0.0012135716400128,0.0012443978888185,0.0007071221390382,0.0,0.0,274,84
3407,val,1,0.8623811679492983,0.7872340425531915,0.7872340425531915,0.7872340425531915,37,10,10,37,0.6439759377786454,0.3062697639490696,0.3377061738295758,0.4101776111217097,0.4623858985550543,0.357969323688365,0,0,0.0,0,0.0010912949708925,0.0011702558840624,0.0026109687940197,0.0006882915422078,0.0014942983995771,0.0003327411200066,0.0017133061746544,0.0020038281043525,0.0006839696317911,0.4864864864864865,0.972972972972973,0.723404255319149,0.2765957446808511,0.0033267579361563,0.00182358356496,0.0006378300661253,0.0,0.0,304,94
3407,test,1,0.8412698412698413,0.7857142857142857,0.7142857142857143,0.75,30,12,9,33,0.6703842459690004,0.3454262003125179,0.3249580456564824,0.3711351471110469,0.3823575874169667,0.359912706805127,0,0,0.0,0,0.0007058145733719,0.0010206493316218,0.0028652144836583,1.476284835786958e-05,0.0013968662983859,-0.0007554235670602,0.0022183700493769,0.002838779704891,-0.0006568930790914,0.6363636363636364,1.0,0.6547619047619048,0.3452380952380952,0.0039887913358311,0.0018644962689537,0.0008343509369296,0.0,0.0,280,84
