seed,epoch,selected_by_val_auc,train_AUC,train_Sensitivity,train_Specificity,train_Balanced_ACC,train_TN,train_FP,train_FN,train_TP,train_total_loss,train_pairwise_rank_loss,train_correct_preserve_loss,train_center_loss,train_magnitude_loss,train_positive_prob_mean,train_negative_prob_mean,train_probability_gap,train_confidence_gate_mean,train_confidence_gate_positive_mean,train_confidence_gate_negative_mean,train_mixed_class_batch_count,train_single_class_batch_count,train_mixed_class_batch_fraction,train_pair_count,train_delta_mean,train_delta_median,train_delta_std,train_positive_delta_mean,train_negative_delta_mean,train_correct_positive_delta_mean,train_correct_negative_delta_mean,train_incorrect_positive_delta_mean,train_incorrect_negative_delta_mean,train_fraction_correct_positive_wrong_direction,train_fraction_correct_negative_wrong_direction,train_positive_delta_fraction,train_negative_delta_fraction,train_mean_abs_delta_low,train_mean_abs_delta_medium,train_mean_abs_delta_high,train_fraction_near_negative_bound,train_fraction_near_positive_bound,train_pairwise_inversion_count,train_n_rows,val_AUC,val_Sensitivity,val_Specificity,val_Balanced_ACC,val_TN,val_FP,val_FN,val_TP,val_positive_prob_mean,val_negative_prob_mean,val_probability_gap,val_confidence_gate_mean,val_confidence_gate_positive_mean,val_confidence_gate_negative_mean,val_mixed_class_batch_count,val_single_class_batch_count,val_mixed_class_batch_fraction,val_pair_count,val_delta_mean,val_delta_median,val_delta_std,val_positive_delta_mean,val_negative_delta_mean,val_correct_positive_delta_mean,val_correct_negative_delta_mean,val_incorrect_positive_delta_mean,val_incorrect_negative_delta_mean,val_fraction_correct_positive_wrong_direction,val_fraction_correct_negative_wrong_direction,val_positive_delta_fraction,val_negative_delta_fraction,val_mean_abs_delta_low,val_mean_abs_delta_medium,val_mean_abs_delta_high,val_fraction_near_negative_bound,val_fraction_near_positive_bound,val_pairwise_inversion_count,val_n_rows
0,1,False,0.8396044193772696,0.7574750830564784,0.7508305647840532,0.7541528239202657,226,75,73,228,0.3495554686355334,0.3495488929260053,0.0003283284874341,9.500757275160636e-07,2.751647081056388e-06,0.6221441518626736,0.3307325811499723,0.2914115707127012,0.4504552151902619,0.4787857516288163,0.4221246787517074,131,20,0.8675496688741722,439,7.355883834947857e-05,4.567874748317991e-05,0.0016433951204766,0.0002742923819094,-0.0001271747052104,0.0002135875636771,-9.758549984414772e-05,0.0004638909922785,-0.0002163368440475,0.3991228070175439,0.415929203539823,0.5182724252491694,0.4750830564784053,0.0015651866895592,0.000646998812282,0.0001575667373899,0.0,0.0,14532,602,0.8696242643730195,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.6137080024531547,0.2786074312443429,0.3351005712088118,0.4081324825083163,0.4695399520680942,0.3467250129485384,0,0,0.0,0,-0.0009522263454489,-0.0008543574658688,0.0024279107183268,-0.000656500625658,-0.0012479520652398,-0.0005586990366022,-0.0010128748783447,-0.0009417552604039,-0.0020172955859875,0.5714285714285714,0.3055555555555556,0.351063829787234,0.648936170212766,0.0031665993530103,0.0013097591445743,0.0004799458243724,0.0,0.0,288,94
0,2,False,0.8399134667387778,0.760797342192691,0.7508305647840532,0.7558139534883721,226,75,72,229,0.3017271934272603,0.3017104025251719,0.0008359547964393,5.756609596853009e-06,1.80445989166407e-05,0.6221509271632397,0.3304899596141967,0.291660967549043,0.4504551947444826,0.4787858238078629,0.4221245656811023,134,17,0.8874172185430463,459,-0.0005672930080073,-0.0004786533536389,0.0042177570571652,0.0002188328070016,-0.0013534188230163,-1.8316696835889866e-05,-0.0012730239890273,0.0009595189285765,-0.0015956752561032,0.5087719298245614,0.2168141592920354,0.3953488372093023,0.6046511627906976,0.0041627642930934,0.0019887018249786,0.0004984602156841,0.0,0.0,14504,602,0.8696242643730195,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.6142912965188635,0.2788722901505993,0.3354190063682642,0.4081324825083163,0.4695399520680942,0.3467250129485384,0,0,0.0,0,0.0008261519611706,0.000262275483692,0.0053929111223201,0.0019307496079412,-0.0002784456856,0.0021689532258148,-0.0010042297675075,0.0012359890558097,0.00209684767337,0.2285714285714285,0.3055555555555556,0.5638297872340425,0.4361702127659574,0.0065503841623597,0.0024310116070244,0.000826539954384,0.0,0.0,288,94
0,3,False,0.8401121400426044,0.760797342192691,0.7475083056478405,0.7541528239202657,225,76,72,229,0.3334329654724966,0.3334006731342894,0.0015927890143582,3.450683914921664e-05,9.38968975608592e-05,0.6223972757096307,0.3302686941497448,0.2921285815598858,0.4504550005838374,0.4787854465758087,0.422124554591866,134,17,0.8874172185430463,457,-0.0006496861104888,-0.0008164063037838,0.0096437085785721,0.0013068910258904,-0.0026062632468681,0.0014760308905559,-0.0032242785737816,0.0007786185718667,-0.0007439770617687,0.4078947368421052,0.1902654867256637,0.4119601328903654,0.5880398671096345,0.0098356353813745,0.0042484900300481,0.0009996811903663,0.0,0.0,14486,602,0.869171570846537,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.6152570127172673,0.2794098481932219,0.3358471645240454,0.4081324825083163,0.4695399520680942,0.3467250129485384,0,0,0.0,0,0.0040635317550676,0.0024825341533869,0.0099597407047595,0.0062622775760205,0.0018647859341147,0.0067386037403983,-0.0004928884914584,0.0048729929299184,0.0095808113268999,0.1714285714285714,0.3611111111111111,0.6276595744680851,0.3723404255319149,0.0139950492444248,0.004930451465043,0.0012888077972585,0.0,0.0,289,94
0,4,False,0.8409399454752156,0.7740863787375415,0.7342192691029901,0.7541528239202657,221,80,68,233,0.3369028496933046,0.3368232018739873,0.0038653767369882,0.0001890451917044,0.0004484458612275,0.6252404576124146,0.3317836248671691,0.2934568327452455,0.4504552786563371,0.478785826877205,0.4221247304354692,137,14,0.9072847682119204,463,0.0088894502633811,0.0063156438991427,0.0192379464612234,0.0139516767918527,0.0038272237349095,0.012646257127639,0.0015727756259729,0.0180288779348763,0.0106206273698383,0.1491228070175438,0.4557522123893805,0.6810631229235881,0.3189368770764119,0.0251788039177247,0.0091049750504474,0.0016285827959099,0.0,0.0,14411,602,0.869171570846537,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.6149760890514293,0.2787854538318958,0.3361906352195334,0.4081324825083163,0.4695399520680942,0.3467250129485384,0,0,0.0,0,0.0016514934251701,0.0003382898721611,0.0160096855217165,0.0048218246761763,-0.001518837825836,0.0060737607169098,-0.0037567877807305,0.0011703445573706,0.0058053620265458,0.2285714285714285,0.1944444444444444,0.5106382978723404,0.4893617021276595,0.019529022223183,0.0076953571356584,0.002847938381213,0.0,0.0,289,94
0,5,False,0.8413924791117096,0.770764119601329,0.7342192691029901,0.7524916943521596,221,80,69,232,0.3252809549634466,0.3251808733981571,0.0048372564429304,0.0002570179842428,0.0007653925720732,0.6255914670882431,0.3317698112494031,0.29382165583884,0.4504551990019572,0.4787857610348649,0.4221246369690495,129,22,0.8543046357615894,435,0.009384774153564,0.0057592880912125,0.0260662159695818,0.0154524943743498,0.0033170539327782,0.0148995241871896,0.0001046440937198,0.0171795793424666,0.0129971155811411,0.219298245614035,0.3805309734513274,0.6245847176079734,0.3754152823920266,0.0325968519354126,0.0122099649043827,0.0025039257317536,0.0,0.0,14370,602,0.8678134902670892,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.6179287035731559,0.2807778168390406,0.3371508867341153,0.4081324825083163,0.4695399520680942,0.3467250129485384,0,0,0.0,0,0.012707189558259,0.0101431952789425,0.0252789269551454,0.0181671610053138,0.0072472181112042,0.0194162100108639,0.0005119584701686,0.0145241014057925,0.0292898860273205,0.1714285714285714,0.3888888888888889,0.6595744680851063,0.3404255319148936,0.0389744051769542,0.0130579559840539,0.0032946669923452,0.0,0.0,292,94
0,6,False,0.842540369311597,0.7906976744186046,0.7308970099667774,0.760797342192691,220,81,63,238,0.2938735315975319,0.2937449239293076,0.0060899665225328,0.0005455522581457,0.0013545654877792,0.627850824911333,0.3325577323105297,0.2952930926008033,0.4504552140021294,0.4787858431150152,0.4221245848892436,130,21,0.8609271523178808,449,0.0159256193346528,0.0132505982182919,0.0332543903795766,0.0253716101279162,0.0064796285413894,0.0237236838178145,0.0022174834608827,0.0305185580553569,0.0193228923839827,0.1578947368421052,0.3805309734513274,0.6478405315614618,0.3521594684385382,0.0456757861335945,0.0165345188712411,0.0033899875848899,0.0,0.0,14266,602,0.8660027161611589,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.6177479233196441,0.2811083368005905,0.3366395865190536,0.4081324825083163,0.4695399520680942,0.3467250129485384,0,0,0.0,0,0.0127278380913342,0.0075444362591952,0.0292094858600662,0.0174792345013826,0.0079764416812859,0.0192829861305654,-0.0003162150355314,0.0122182922495994,0.0351160454817793,0.1714285714285714,0.3333333333333333,0.6276595744680851,0.3723404255319149,0.0413742274944005,0.0170062397903,0.0046883567469194,0.0,0.0,296,94
0,7,False,0.8430480899769318,0.7840531561461794,0.7408637873754153,0.7624584717607974,223,78,65,236,0.2878722427764062,0.2877443299030527,0.0061049689441924,0.0004513491560837,0.0013005870052908,0.6262530431002874,0.3303692064888503,0.2958838366114371,0.4504550528616654,0.4787857234106705,0.4221243823126602,132,19,0.8741721854304636,447,0.0071388656260328,0.0018570075626485,0.0353977973868012,0.0180457746139223,-0.0037680433618566,0.0182504334994886,-0.0069541836802329,0.0174065660398249,0.0058328594641837,0.2763157894736842,0.2743362831858407,0.521594684385382,0.4784053156146179,0.0420125524810966,0.0191152544409563,0.0063014324516861,0.0,0.0,14220,602,0.8678134902670892,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.6158935565580713,0.2797624558368896,0.3361311007211817,0.4081324825083163,0.4695399520680942,0.3467250129485384,0,0,0.0,0,0.0050025272642589,0.0008334156009368,0.0309088051086916,0.0091823504759652,0.0008227040525525,0.0130963560676069,-0.0064672182456383,-0.0022334991663228,0.0246806315739046,0.2285714285714285,0.2777777777777778,0.5212765957446809,0.4787234042553192,0.0392349320064698,0.0195866324885917,0.0060552759600492,0.0,0.0,292,94
0,8,False,0.8434564739903533,0.7873754152823921,0.7408637873754153,0.7641196013289037,223,78,64,237,0.3185091852297768,0.3183652912297391,0.0068707724787227,0.0004823926715677,0.0016550535427038,0.6265903730626122,0.3299543464655347,0.2966360265970775,0.4504551843978291,0.4787857839064147,0.4221245848892436,134,17,0.8874172185430463,463,0.0067712834435673,0.0028338017873466,0.0400517004586571,0.0195604055187629,-0.0060178386316281,0.0203545956964055,-0.0107979749050454,0.0170799211283176,0.0083863053389359,0.2456140350877192,0.2256637168141592,0.5182724252491694,0.4817275747508305,0.047705693743465,0.0216976362255287,0.0074644921553219,0.0,0.0,14183,602,0.8687188773200544,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.6154450079862107,0.2792711959795115,0.3361738120066992,0.4081324825083163,0.4695399520680942,0.3467250129485384,0,0,0.0,0,0.0026809392011466,-0.0007489174458896,0.034132128445489,0.0071747773060664,-0.001812898903773,0.01221487964254,-0.00884207906347,-0.0075255211753149,0.0211916907097805,0.2857142857142857,0.25,0.4893617021276595,0.5106382978723404,0.0426778086860265,0.0217546724220896,0.00707241166189,0.0,0.0,290,94
0,9,True,0.8438317457864702,0.7740863787375415,0.7641196013289037,0.7691029900332226,230,71,68,233,0.3533950561838043,0.3532689033717607,0.0059999634404388,0.0004643991225517,0.0015087216665208,0.6226621557806813,0.3264458861226754,0.2962162696580058,0.4504551608362962,0.4787857336583129,0.4221245880142795,130,21,0.8609271523178808,443,-0.0097551769160653,-0.0085991532541811,0.0376893793938371,0.0022123275102241,-0.0217226813423549,0.0021937057424446,-0.0238051992862699,0.0022704886479465,-0.015447360604691,0.4605263157894737,0.1061946902654867,0.3571428571428571,0.6428571428571429,0.0431230503576802,0.0209048376940871,0.0078413706718966,0.0033222591362126,0.0,14149,602,0.8718877320054322,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.6173003583829454,0.2789892152031051,0.3383111431798402,0.4081324825083163,0.4695399520680942,0.3467250129485384,0,0,0.0,0,0.0059610508255997,-0.0015403482248075,0.0388694192728679,0.0150989820806686,-0.0031768804294691,0.0219023170032804,-0.0106849138408304,-0.0047440781102826,0.0213948652804405,0.2571428571428571,0.2222222222222222,0.4787234042553192,0.5212765957446809,0.04830534906692,0.0233307167350589,0.0081417545598621,0.0,0.0,283,94
0,10,False,0.8447257756536903,0.7873754152823921,0.7342192691029901,0.760797342192691,221,80,64,237,0.3373877096775614,0.3372331226324749,0.0071424637034403,0.000914859296366,0.0025851774691714,0.6303696245004569,0.3317984454395664,0.2985711790608904,0.4504551627391646,0.4787857405890856,0.4221245848892436,138,13,0.913907284768212,469,0.0193111601526631,0.0169570399448275,0.047112266660328,0.0368843342274647,0.0017379860778615,0.0360913725144519,-0.0056173423911714,0.039360981769477,0.0239020425312143,0.1140350877192982,0.2610619469026549,0.6146179401993356,0.3853820598006645,0.0631719761762118,0.0267631749535761,0.0078542514259686,0.0066445182724252,0.0,14068,602,0.870076957899502,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.6173635523052926,0.2791921579615867,0.3381713943437059,0.4081324825083163,0.4695399520680942,0.3467250129485384,0,0,0.0,0,0.0064598826798015,0.0031507951207458,0.0418125055795579,0.0155496430023513,-0.0026298776427482,0.0232755972139005,-0.0112020126608614,-0.0069843901146668,0.0254243824165314,0.2,0.2222222222222222,0.5212765957446809,0.4787234042553192,0.0532323819452098,0.0256862575902645,0.0087294203384468,0.0106382978723404,0.0,287,94
