seed,mean_delta,std_delta,min_delta,max_delta,fraction_near_negative_bound,fraction_near_positive_bound,mean_abs_delta_low,mean_abs_delta_high,nonzero_variance
0,0.00596105082559974,0.03886941927286787,-0.0827657431364059,0.1198586970567703,0.0,0.0,0.04830534906692001,0.00814175455986206,True
42,-0.0009909743723353448,0.002127173411339815,-0.0137001480907201,0.0004367524234112,0.0,0.0,0.0015338202927068444,0.00040533213236769374,True
3407,0.0010912949708924867,0.0026109687940196803,-0.0056118411011993,0.0083515439182519,0.0,0.0,0.0033267579361563075,0.0006378300661253407,True
