split,AUC_mean,AUC_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Balanced_ACC_mean,Balanced_ACC_std,delta_mean_mean,delta_mean_std,delta_std_mean,delta_std_std
test,0.8446712018140591,0.0034013605442177,0.7777777777777778,0.0363696483726653,0.7301587301587302,0.0274928699614107,0.753968253968254,0.0068732174903526,0.0004592440849403,0.0014018059581568,0.0136914381367019,0.019803989343942
val,0.8703787535838238,0.0073600412845976,0.8014184397163121,0.0650010736873169,0.7872340425531914,0.0212765957446808,0.7943262411347517,0.0429941689822062,0.0020204571413856,0.0035679364263517,0.0145358538260758,0.0210748741397916
