seed,mean_delta,median_delta,positive_delta_fraction,negative_delta_fraction,positive_class_mean_delta,negative_class_mean_delta,same_sign_fraction_ge_0_90,both_class_means_same_sign_and_large
0,0.00596105082559974,-0.0015403482248075,0.4787234042553192,0.5212765957446809,0.015098982080668594,-0.0031768804294691113,False,False
42,-0.0009909743723353448,-0.00030104767938605,0.1702127659574468,0.8297872340425532,-0.0011160688042976866,-0.0008658799403730028,False,False
3407,0.0010912949708924867,0.00117025588406245,0.723404255319149,0.2765957446808511,0.0006882915422078818,0.0014942983995770915,False,False
