seed,split,best_epoch,AUC,Sensitivity,Specificity,Balanced_ACC,TN,FP,FN,TP,bce_loss,positive_probability_mean,negative_probability_mean,positive_negative_gap,adapter_delta_abs_mean,adapter_delta_abs_std,adapter_delta_abs_max,adapter_near_bound_fraction,adapter_delta_positive_mean,adapter_delta_negative_mean,text_token_norm_before_mean,text_token_norm_after_mean,text_token_cosine_before_after,text_evidence_state_cosine_before_after,padding_delta_abs_max,latest_visit_adapter_delta_abs,history_visit_adapter_delta_abs,prediction_std,pairwise_inversion_count,n_rows
0,val,1,0.8972385694884563,0.851063829787234,0.723404255319149,0.7872340425531915,34,13,7,40,0.4139242336774866,0.7280423766437997,0.2782217800676664,0.4498205965761332,0.001356742996227,0.0001328241344971,0.0139204338192939,0.0,0.001333175100723,0.0013803108917311,16.00984244650983,16.00977254421153,0.9999983450199696,0.9998014734146444,0.0,0.0013231179278165,0.0009163675069353,0.3294497457586494,227,94
42,val,1,0.866002716161159,0.7872340425531915,0.8085106382978723,0.7978723404255319,38,9,10,37,0.4547679311751078,0.6825499071719798,0.2770726158521435,0.4054772913198363,0.0017934501953819,0.00017124014341,0.0125691536813974,0.0,0.0017571640200912,0.0018297363706725,16.01164533736858,16.010777047339907,0.9999975910846224,0.9997267799174532,0.0,0.0017479693992657,0.0012140413709083,0.3202698222111539,296,94
3407,val,1,0.8718877320054323,0.8085106382978723,0.7872340425531915,0.7978723404255319,37,10,9,38,0.4522623332838217,0.6919040413613015,0.2661301197801181,0.4257739215811833,0.0013202503918016,8.783202737602656e-05,0.0125637417659163,0.0,0.0013035774637172,0.001336923319886,16.006385437985685,16.005798948572036,0.9999985365157432,0.99988306519833,0.0,0.0012857621211182,0.0008916668643421,0.3249582544244656,283,94
0,test,1,0.8236961451247165,0.8571428571428571,0.7142857142857143,0.7857142857142857,30,12,6,36,0.5183551581132979,0.7366133648015204,0.3404240866435603,0.3961892781579601,0.0013575163251343,0.000144724035731,0.0139204328879714,0.0,0.0013065343927813,0.0014084982574873,16.010089806147985,16.010047685532342,0.9999983573243733,0.999795546134313,0.0,0.001322171246145,0.0006697356972532,0.3413170091982562,311,84
42,test,1,0.8786848072562359,0.8809523809523809,0.7619047619047619,0.8214285714285714,32,10,5,37,0.4238880053162575,0.7272136168820518,0.2974167823835852,0.4297968344984665,0.0018159589588841,0.0001865885771992,0.0124406069517135,0.0,0.0017423956333437,0.0018895222844245,16.011415549686976,16.010552224658785,0.9999975533712476,0.9997246435710362,0.0,0.001767853200103,0.0008957240054206,0.3237346659274095,214,84
3407,test,1,0.8327664399092971,0.8095238095238095,0.7142857142857143,0.7619047619047619,30,12,8,34,0.4886510663089298,0.6995109170675278,0.3121156681639452,0.3873952489035825,0.0013237217249947,0.0001003528449903,0.0126348007470369,0.0,0.0012880587878282,0.0013593846621612,16.006042389642623,16.005473818097794,0.9999985212371464,0.9998887819903236,0.0,0.001296035253853,0.0006490039287157,0.324419403298372,295,84
