seed,adapter_delta_abs_mean,adapter_delta_abs_std,adapter_delta_abs_max,adapter_near_bound_fraction,text_token_norm_before_mean,text_token_norm_after_mean,text_token_cosine_before_after,text_evidence_state_cosine_before_after,padding_delta_abs_max,latest_visit_adapter_delta_abs,history_visit_adapter_delta_abs,adapter_output_nonzero,adapter_variance_nonzero,all_finite
0,0.0013567429962270188,0.00013282413449713408,0.0139204338192939,0.0,16.00984244650983,16.00977254421153,0.9999983450199695,0.9998014734146443,0.0,0.0013231179278165085,0.0009163675069352872,True,True,True
42,0.0017934501953818835,0.000171240143410085,0.0125691536813974,0.0,16.01164533736858,16.010777047339907,0.9999975910846223,0.9997267799174532,0.0,0.0017479693992657342,0.0012140413709083586,True,True,True
3407,0.0013202503918015689,8.783202737602782e-05,0.0125637417659163,0.0,16.006385437985685,16.005798948572036,0.9999985365157432,0.9998830651983301,0.0,0.001285762121118154,0.0008916668643421638,True,True,True
