split,AUC_mean,AUC_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Balanced_ACC_mean,Balanced_ACC_std,prediction_std_mean,prediction_std_std
test,0.8450491307634165,0.0294802749599965,0.8492063492063492,0.0363696483726653,0.7301587301587302,0.0274928699614107,0.7896825396825397,0.0299596604574236,0.3298236928080125,0.0099593904206773
val,0.8783763392183492,0.0165980767242396,0.8156028368794326,0.0325005368436584,0.7730496453900709,0.0442907659460878,0.7943262411347517,0.0061420241403151,0.3248926074647563,0.0045903138484154
