seed,epoch,train_bce_loss,val_auc,val_sensitivity,val_specificity,val_balanced_accuracy,val_positive_probability_mean,val_negative_probability_mean,val_positive_negative_gap,adapter_delta_abs_mean,adapter_delta_abs_std,adapter_delta_abs_max,adapter_near_bound_fraction,adapter_delta_positive_mean,adapter_delta_negative_mean,text_token_norm_before_mean,text_token_norm_after_mean,text_token_cosine_before_after,padding_delta_abs_max,pairwise_inversion_count,selected_by_val_auc
0,1,0.4180585538956108,0.8972385694884563,0.851063829787234,0.723404255319149,0.7872340425531915,0.7280423766437997,0.2782217800676664,0.4498205965761332,0.001356742996227,0.0001328241344971,0.0139204338192939,0.0,0.001333175100723,0.0013803108917311,16.00984244650983,16.00977254421153,0.9999983450199696,0.0,227,True
0,2,0.4082896072935584,0.8850158442734268,0.8085106382978723,0.7021276595744681,0.7553191489361701,0.7253152715398911,0.2936581454953139,0.4316571260445771,0.0043692554426478,0.0003906676288784,0.037361167371273,0.0,0.0043378043077648,0.0044007065775308,16.00984244650983,16.00962780891581,0.9999831217400572,0.0,254,False
0,3,0.4023081658790443,0.8832050701674966,0.7659574468085106,0.7659574468085106,0.7659574468085106,0.7063715121847518,0.2816718002345333,0.4246997119502184,0.0075312058807925,0.0006192363394512,0.0627845525741577,0.0,0.0075700047742971,0.0074924069872878,16.00984244650983,16.00894530276035,0.999947929635961,0.0,258,False
0,4,0.3965614563384593,0.8845631507469444,0.7659574468085106,0.7872340425531915,0.7765957446808511,0.6925724480063358,0.2644122179716508,0.4281602300346849,0.0093132545973392,0.0007650594646282,0.0754354372620582,0.0,0.0094171893049744,0.0092093198897039,16.00984244650983,16.007604680162796,0.9999184266049812,0.0,255,False
0,5,0.3941817004850368,0.8804889090086012,0.723404255319149,0.8085106382978723,0.7659574468085106,0.6943561938848901,0.2646902927811793,0.4296659011037108,0.0108622965759577,0.0009198149157334,0.0831667184829711,0.0,0.0110256830428509,0.0106989101090646,16.00984244650983,16.006563024317966,0.9998882577774372,0.0,264,False
0,6,0.3939619214822914,0.8800362154821186,0.7446808510638298,0.7659574468085106,0.7553191489361701,0.7048840836641637,0.2761704590508437,0.4287136246133199,0.0124302908500775,0.0010631050158437,0.0873163416981697,0.0,0.0126202844400355,0.0122402972601195,16.00984244650983,16.0056153053933,0.9998544511642862,0.0,265,False
0,7,0.3906222057608974,0.8813942960615664,0.7446808510638298,0.8085106382978723,0.776595744680851,0.6963436957052414,0.2624967806437548,0.4338469150614865,0.0129121724179291,0.0010565902505753,0.0883847475051879,0.0,0.0130822878291315,0.0127420570067268,16.00984244650983,16.004484409981586,0.9998426304218616,0.0,262,False
0,8,0.385267290897322,0.8786781349026709,0.723404255319149,0.8085106382978723,0.7659574468085106,0.682262307468881,0.2557640686591572,0.4264982388097237,0.014328346349933,0.0011752045380048,0.0915693715214729,0.0,0.01452936788902,0.014127324810846,16.00984244650983,16.003403034616024,0.9998075733793542,0.0,268,False
0,9,0.38673089311415,0.8773200543232231,0.723404255319149,0.7872340425531915,0.7553191489361702,0.6913001589635586,0.2637518195811897,0.4275483393823688,0.01577860535063,0.0012879362913096,0.0940344929695129,0.0,0.0159862047814308,0.0155710059198293,16.00984244650983,16.00221581154681,0.999768245727458,0.0,271,False
42,1,0.4325497998109716,0.866002716161159,0.7872340425531915,0.8085106382978723,0.7978723404255319,0.6825499071719798,0.2770726158521435,0.4054772913198363,0.0017934501953819,0.00017124014341,0.0125691536813974,0.0,0.0017571640200912,0.0018297363706725,16.01164533736858,16.010777047339907,0.9999975910846224,0.0,296,True
