seed,scope,name
42,frozen,c27.frozen_sources.text_encoder.proj.3.bias
42,frozen,c27.frozen_sources.bio_encoder.medical.0.weight
42,frozen,c27.frozen_sources.bio_encoder.medical.0.bias
42,frozen,c27.frozen_sources.bio_encoder.medical.3.weight
42,frozen,c27.frozen_sources.bio_encoder.medical.3.bias
42,frozen,c27.frozen_sources.bio_encoder.observation.0.weight
42,frozen,c27.frozen_sources.bio_encoder.observation.0.bias
42,frozen,c27.frozen_sources.bio_encoder.observation.3.weight
42,frozen,c27.frozen_sources.bio_encoder.observation.3.bias
42,frozen,c27.frozen_sources.bio_encoder.token_proj.weight
42,frozen,c27.frozen_sources.bio_encoder.token_proj.bias
42,frozen,c27.frozen_sources.image_projector.queries
42,frozen,c27.frozen_sources.image_projector.attn.in_proj_weight
42,frozen,c27.frozen_sources.image_projector.attn.in_proj_bias
42,frozen,c27.frozen_sources.image_projector.attn.out_proj.weight
42,frozen,c27.frozen_sources.image_projector.attn.out_proj.bias
42,frozen,c27.frozen_sources.image_projector.out.0.weight
42,frozen,c27.frozen_sources.image_projector.out.0.bias
42,frozen,c27.frozen_sources.image_projector.out.1.weight
42,frozen,c27.frozen_sources.image_projector.out.1.bias
42,frozen,c27.frozen_sources.image_projector.out.4.weight
42,frozen,c27.frozen_sources.image_projector.out.4.bias
42,frozen,c27.frozen_sources.image_projector.out.5.weight
42,frozen,c27.frozen_sources.image_projector.out.5.bias
42,frozen,c27.frozen_sources.text_projector.queries
42,frozen,c27.frozen_sources.text_projector.out.0.weight
42,frozen,c27.frozen_sources.text_projector.out.0.bias
42,frozen,c27.frozen_sources.text_projector.out.1.weight
42,frozen,c27.frozen_sources.text_projector.out.1.bias
42,frozen,c27.frozen_sources.text_projector.out.4.weight
42,frozen,c27.frozen_sources.text_projector.out.4.bias
42,frozen,c27.frozen_sources.text_projector.out.5.weight
42,frozen,c27.frozen_sources.text_projector.out.5.bias
42,frozen,c27.frozen_sources.text_projector.temporal_proj.0.weight
42,frozen,c27.frozen_sources.text_projector.temporal_proj.0.bias
42,frozen,c27.frozen_sources.text_projector.temporal_proj.3.weight
42,frozen,c27.frozen_sources.text_projector.temporal_proj.3.bias
42,frozen,c27.frozen_sources.text_projector.temporal_conflict.weight
42,frozen,c27.frozen_sources.text_projector.temporal_conflict.bias
42,frozen,c27.frozen_sources.bio_projector.input_norm.weight
42,frozen,c27.frozen_sources.bio_projector.input_norm.bias
42,frozen,c27.frozen_sources.bio_projector.group_proj.0.0.weight
42,frozen,c27.frozen_sources.bio_projector.group_proj.0.0.bias
