seed,c17_tp_to_c30_fn,c17_fn_to_c30_tp,c17_tn_to_c30_fp,c17_fp_to_c30_tn,c27_tp_to_c30_fn,c27_fn_to_c30_tp,c27_tn_to_c30_fp,c27_fp_to_c30_tn,c17_sensitivity,c27_sensitivity,c30_sensitivity,sensitivity_difference_vs_c17,c17_positive_probability_mean,c27_positive_probability_mean,c30_positive_probability_mean,positive_probability_difference_vs_c17,positive_probability_difference_vs_c27,c27_material_positive_damage_count,c30_material_positive_damage_count
0,5,10,5,3,0,0,1,0,0.7446808510638298,0.851063829787234,0.851063829787234,0.1063829787234043,0.6138404977131398,0.7288978841710598,0.7280423766437997,0.11420187893065992,-0.0008555075272601576,12,11
42,6,2,3,3,0,3,2,0,0.8723404255319149,0.723404255319149,0.7872340425531915,-0.08510638297872342,0.7283178740676414,0.6565118013544285,0.6825499071719798,-0.04576796689566154,0.026038105817551283,21,20
3407,4,5,4,4,0,0,1,0,0.7872340425531915,0.8085106382978723,0.8085106382978723,0.02127659574468077,0.6437830850481987,0.6831299917812043,0.6919040413613015,0.04812095631310276,0.008774049580097198,9,9
