split,label,n,mean_prefix_chars,n_with_prefix,mean_first256_morphology_before,mean_first256_morphology_after,mean_first256_diffuse_before,mean_first256_diffuse_after,txt_morphology_changed_rate,image_weak_changed_rate
test,0,42,170.8095238095238,40,1.619047619047619,1.619047619047619,0.47619047619047616,0.6666666666666666,0.0,0.0
test,1,42,179.95238095238096,42,2.4285714285714284,2.619047619047619,1.0714285714285714,1.4285714285714286,0.0,0.0
train,0,301,192.87707641196013,297,1.7508305647840532,1.9401993355481728,0.5714285714285714,0.9136212624584718,0.0,0.0
train,1,301,193.80730897009965,300,2.215946843853821,2.5548172757475083,0.8272425249169435,1.2923588039867109,0.0,0.0
val,0,47,186.74468085106383,45,1.702127659574468,1.6595744680851063,0.5319148936170213,0.6382978723404256,0.0,0.0
val,1,47,192.61702127659575,47,2.3191489361702127,2.8297872340425534,0.7446808510638298,1.553191489361702,0.0,0.0
