seed,object_type,representation_or_swap,selected_structure_shortcut_only_label_AUC,max_abs_prediction_selected_structure_spearman,object_shortcut_pass,shortcut_fields_used_as_inputs,prediction_spearman_selected_n_visits,prediction_spearman_used_images,prediction_spearman_image_padding_count,prediction_spearman_has_bio,prediction_spearman_bio_missing_count,prediction_spearman_report_length,prediction_spearman_reconstructable_visit_count,prediction_spearman_visit_report_coverage,prediction_spearman_dated_bio_visit_count,raw_n_visits_orientation_invariant_label_AUC_warning,raw_n_images_orientation_invariant_label_AUC_warning
0,probe,P0_official_C27,0.28338614757808966,0.13841685469410417,True,False,-0.08593440828992707,-0.08593440828992707,-0.008584988471821275,0.0,-0.04330461172336969,-0.13841685469410417,-0.08593440828992707,0.0,-0.08593440828992707,0.9769126301493889,0.9418288818469895
0,probe,P1_patient_state,0.28338614757808966,0.17508381040830076,True,False,-0.13666405898577855,-0.13666405898577855,-0.02523704106524426,0.0,-0.0593433568060992,-0.17508381040830076,-0.13666405898577855,0.0,-0.13666405898577855,0.9769126301493889,0.9418288818469895
0,probe,P2_pre_projection,0.28338614757808966,0.11937171277043473,True,False,-0.02993979384651674,-0.02993979384651674,0.1005714920062719,0.0,-0.11227121557910662,-0.11937171277043473,-0.02993979384651674,0.0,-0.02993979384651674,0.9769126301493889,0.9418288818469895
0,probe,P3_temporal_mechanisms,0.28338614757808966,0.15181203418063038,True,False,-0.05818459936404732,-0.05818459936404732,0.08960091258798475,0.0,-0.1251022116452902,-0.15181203418063038,-0.05818459936404732,0.0,-0.05818459936404732,0.9769126301493889,0.9418288818469895
0,probe,P4_conflicts_negative_control,0.28338614757808966,0.4325236014741676,False,False,0.41718712482452014,0.41718712482452014,0.12463273598462256,0.0,0.09818707978287032,0.4325236014741676,0.41718712482452014,0.0,0.41718712482452014,0.9769126301493889,0.9418288818469895
0,probe,P5_C17_mechanism_reference,0.28338614757808966,0.18282902745768378,True,False,-0.11455421122537493,-0.11455421122537493,-0.03838918062536534,0.0,-0.07217435287228281,-0.18282902745768378,-0.11455421122537493,0.0,-0.11455421122537493,0.9769126301493889,0.9418288818469895
0,classifier_swap,CLS_SWAP_r0_c0,0.28338614757808966,0.13841685469410417,True,False,-0.08593440828992707,-0.08593440828992707,-0.008584988471821275,0.0,-0.04330461172336969,-0.13841685469410417,-0.08593440828992707,0.0,-0.08593440828992707,0.9769126301493889,0.9418288818469895
0,head_swap,HEAD_SWAP_r0_c0,0.28338614757808966,0.13841685469410417,True,False,-0.08593440828992707,-0.08593440828992707,-0.008584988471821275,0.0,-0.04330461172336969,-0.13841685469410417,-0.08593440828992707,0.0,-0.08593440828992707,0.9769126301493889,0.9418288818469895
0,classifier_swap,CLS_SWAP_r0_c42,0.28338614757808966,0.1154789645956525,True,False,-0.05977458841601664,-0.05977458841601664,0.01203781747328504,0.0,0.1154789645956525,-0.09642506225845673,-0.05977458841601664,0.0,-0.05977458841601664,0.9769126301493889,0.9418288818469895
0,head_swap,HEAD_SWAP_r0_c42,0.28338614757808966,0.28099306519378664,True,False,0.28099306519378664,0.28099306519378664,0.060204782043704594,0.0,0.0,0.20396942399359297,0.28099306519378664,0.0,0.28099306519378664,0.9769126301493889,0.9418288818469895
0,classifier_swap,CLS_SWAP_r0_c3407,0.28338614757808966,0.27300445095894244,True,False,-0.20267860443593902,-0.20267860443593902,-0.0783007449468306,0.0,-0.10585571754601479,-0.27300445095894244,-0.20267860443593902,0.0,-0.20267860443593902,0.9769126301493889,0.9418288818469895
0,head_swap,HEAD_SWAP_r0_c3407,0.28338614757808966,0.1590139050936493,True,False,-0.1590139050936493,-0.1590139050936493,-0.061067989294070535,0.0,0.027265866640640173,-0.15428298961989245,-0.1590139050936493,0.0,-0.1590139050936493,0.9769126301493889,0.9418288818469895
42,probe,P0_official_C27,0.28338614757808966,0.19155684667004821,True,False,-0.12238415731148802,-0.12238415731148802,-0.08272664393961598,0.0,-0.11066734107083365,-0.19155684667004821,-0.12238415731148802,0.0,-0.12238415731148802,0.9769126301493889,0.9418288818469895
42,probe,P1_patient_state,0.28338614757808966,0.14772990019471488,True,False,-0.07823946127426419,-0.07823946127426419,-0.018912086121653814,0.0,-0.07377822738055577,-0.14772990019471488,-0.07823946127426419,0.0,-0.07823946127426419,0.9769126301493889,0.9418288818469895
42,probe,P2_pre_projection,0.28338614757808966,0.18925719197620827,True,False,-0.03308977215702201,-0.03308977215702201,-0.00929124894939341,0.0,-0.18925719197620827,-0.13346771879967564,-0.03308977215702201,0.0,-0.03308977215702201,0.9769126301493889,0.9418288818469895
42,probe,P3_temporal_mechanisms,0.28338614757808966,0.15289578656627162,True,False,-0.0780144628235138,-0.0780144628235138,-0.04757056683380308,0.0,-0.1411409567280197,-0.15289578656627162,-0.0780144628235138,0.0,-0.0780144628235138,0.9769126301493889,0.9418288818469895
42,probe,P4_conflicts_negative_control,0.28338614757808966,0.5316193538979614,False,False,0.5316193538979614,0.5316193538979614,0.20876743916632715,0.0,0.04909353989143516,0.49877365868017953,0.5316193538979614,0.0,0.5316193538979614,0.9769126301493889,0.9418288818469895
42,probe,P5_C17_mechanism_reference,0.28338614757808966,0.12686912642977885,True,False,0.12686912642977885,0.12686912642977885,-0.0471468105472598,0.0,-0.09944021951292298,0.08190278029086359,0.12686912642977885,0.0,0.12686912642977885,0.9769126301493889,0.9418288818469895
42,classifier_swap,CLS_SWAP_r42_c0,0.28338614757808966,0.4330457782545422,False,False,0.3751624167811774,0.3751624167811774,0.15184600267800885,0.0,0.18604944295966236,0.4330457782545422,0.3751624167811774,0.0,0.3751624167811774,0.9769126301493889,0.9418288818469895
