representation_seed,head_seed,object_name,diagonal,max_abs_diagonal_logit_error,AUC,Sensitivity,Specificity,Balanced_ACC,TP,FN,TN,FP,positive_probability_mean,negative_probability_mean,pairwise_inversion_count,material_positive_damage_count,severe_positive_damage_count,c17_tp_to_object_fn,official_representation_seed_inversions,net_inversion_change
0,0,HEAD_SWAP_r0_c0,True,9.5367431640625e-07,0.901765504753282,0.851063829787234,0.7446808510638298,0.7978723404255319,40,7,35,12,0.7288978852368297,0.2719776928516364,217,12,8,5,217,0
0,42,HEAD_SWAP_r0_c42,False,,0.6315074694431869,0.9148936170212766,0.19148936170212766,0.5531914893617021,43,4,9,38,0.7879317669728503,0.7111113197873506,814,6,4,1,217,597
0,3407,HEAD_SWAP_r0_c3407,False,,0.729741964689905,0.3829787234042553,0.8297872340425532,0.6063829787234043,18,29,39,8,0.44718133647384617,0.26929198634848495,597,33,30,22,217,380
42,0,HEAD_SWAP_r42_c0,False,,0.5464010864644635,0.02127659574468085,0.9574468085106383,0.4893617021276596,1,46,45,2,0.1710237491123168,0.17045783975785023,1002,45,44,40,284,718
42,42,HEAD_SWAP_r42_c42,True,9.5367431640625e-07,0.8714350384789498,0.723404255319149,0.851063829787234,0.7872340425531915,34,13,40,7,0.6565118001099289,0.25456014559624274,284,21,19,8,284,0
42,3407,HEAD_SWAP_r42_c3407,False,,0.7962879130828429,0.5319148936170213,0.851063829787234,0.6914893617021276,25,22,40,7,0.500092554864792,0.18865671647723073,450,33,27,16,284,166
3407,0,HEAD_SWAP_r3407_c0,False,,0.2304210049796288,0.2978723404255319,0.2765957446808511,0.2872340425531915,14,33,13,34,0.30592953220229296,0.6692381553242237,1700,36,34,30,279,1421
3407,42,HEAD_SWAP_r3407_c42,False,,0.7270258035310094,0.6170212765957447,0.723404255319149,0.6702127659574468,29,18,34,13,0.5630541842959875,0.4063640939590058,603,22,20,12,279,324
3407,3407,HEAD_SWAP_r3407_c3407,True,7.152557373046875e-07,0.8736985061113627,0.8085106382978723,0.8085106382978723,0.8085106382978723,38,9,38,9,0.6831299832454286,0.25553047700352055,279,9,8,4,279,0
