probe,authorization_candidate,validation_AUC_mean,validation_AUC_std,mean_AUC_gain_vs_official,material_improvement_seed_count,positive_direction_seed_count,Sensitivity_mean,maximum_sensitivity_drop_vs_official,pairwise_inversion_mean,mean_inversion_change_vs_official,material_positive_damage_aggregate,severe_positive_damage_aggregate,material_damage_reduction_fraction,train_AUC_mean,maximum_train_validation_AUC_gap,generalization_pass,random_label_AUC_mean,random_label_AUC_max,random_label_pass,shortcut_pass,p4_p5_authorization_excluded
P0_official_C27,False,0.8822996831145314,0.01689584210640242,0.0,0,0,0.7943262411347517,0.0,260.0,0.0,42,35,0.0,0.8749645883231606,,True,,,True,True,False
P1_patient_state,True,0.8242040138826013,0.035525146723988446,-0.0580956692319301,0,0,0.6950354609929077,0.14893617021276595,388.3333333333333,128.33333333333331,52,49,-0.23809523809523808,0.9690069646030398,0.1759750862218005,False,0.4801569337558473,0.5065640561339972,True,True,False
P2_pre_projection,True,0.8103214124038027,0.015020968785004142,-0.07197827071072871,0,0,0.7375886524822696,0.17021276595744683,419.0,159.0,48,42,-0.14285714285714285,0.9812253727883798,0.1795843179079851,False,0.5213520446657612,0.5418741511996378,True,True,False
P3_temporal_mechanisms,True,0.7953825260298779,0.011550340264529757,-0.08691715708465353,0,0,0.7446808510638298,0.17021276595744683,452.0,192.0,49,44,-0.16666666666666666,0.9800664451827242,0.1965091378702339,False,0.5192394748755093,0.5382526029877772,True,True,False
P4_conflicts_negative_control,False,0.6923192998340123,0.01723409269385153,-0.18998038328051914,0,0,0.5319148936170213,0.3191489361702128,551.6666666666666,291.66666666666663,91,82,-1.1666666666666667,0.5865259029517701,-0.1036200972102149,True,0.4335295005281424,0.4617473970122226,True,False,True
P5_C17_mechanism_reference,False,0.7769729892862531,0.03229813127218305,-0.1053266938282783,0,0,0.6808510638297873,0.23404255319148926,492.6666666666667,232.66666666666669,66,52,-0.5714285714285714,0.9185218706195296,0.1752886785012007,False,0.47910064886072123,0.5165233137166139,True,True,True
