stage,seed_pair,left_seed,right_seed,dimension,linear_CKA,patient_distance_spearman,knn_jaccard_k10,procrustes_train_RMSE,procrustes_train_relative_error,procrustes_validation_RMSE,procrustes_validation_relative_error,global_coordinate_compatibility_supported
S2_pre_projection,0_vs_42,0,42,1541,0.7693600977789884,0.764294768315705,0.3266938864807911,0.22210528005657743,0.5964171158245231,0.24637841467545987,0.6446678503419092,True
S4_patient_state,0_vs_42,0,42,256,0.8143873260658605,0.7663390893523602,0.28434839428845093,0.34619894169171306,0.6545244933396606,0.3813117249139233,0.7055247644329217,True
S2_pre_projection,0_vs_3407,0,3407,1541,0.6577905609888426,0.5835374503542192,0.27850502098740026,0.26122821031129356,0.6908366573195245,0.283880213583763,0.7154558535747192,False
S4_patient_state,0_vs_3407,0,3407,256,0.7277103295166931,0.6312263775838156,0.24338530169009057,0.3967272489556709,0.7479352957967177,0.42370443278087805,0.7723760533246495,False
S2_pre_projection,42_vs_3407,42,3407,1541,0.7737953059324792,0.7262686698886602,0.4055127266295833,0.19823854685896986,0.5242559940242791,0.21436146393734026,0.5402495729402543,True
S4_patient_state,42_vs_3407,42,3407,256,0.7821508093683817,0.6962588906593259,0.3377198649084559,0.30267316144513395,0.5706185827444612,0.32032633687446543,0.5839268431231944,True
