cross_seed_group,metric,seed_0_mean,seed_42_mean,seed_3407_mean,mean_across_seeds,std_across_seeds,positive_seed_count,negative_seed_count,zero_or_missing_seed_count,direction_consistent_2_of_3,sign_change_across_seeds
all_seed_fn,delta_mask_text,-0.004595579313380378,0.1505002017532076,0.14805824229759829,0.09798762157914183,0.0725441273548378,2,1,0,0,1
all_seed_fn,delta_mask_image,0.2581908857183797,0.02851340813296182,0.028046981830682074,0.10491709189400787,0.10838110626660874,3,0,0,1,0
all_seed_fn,delta_mask_bio,0.04449195361563137,-0.07006416975387506,-0.026285737553345307,-0.017285984563863,0.0471983263528568,1,2,0,0,1
all_seed_fn,delta_text_only_like,0.30114055584583965,-0.04829329571553639,-0.015614426561764308,0.079077611189513,0.15758794510657942,1,2,0,0,1
all_seed_fn,delta_image_only_like,-0.017376293561288288,0.1251596829720906,0.19038258093808377,0.09938865678296203,0.08675270150046058,2,1,0,0,1
all_seed_fn,delta_bio_only_like,0.332321433616536,0.18696944415569305,0.1892543033297573,0.23618172703399543,0.06798743772047926,3,0,0,1,0
all_seed_tp,delta_mask_text,-0.4005027463038762,-0.29690655569235486,-0.26760508492588997,-0.3216714623073737,0.05701124187194678,0,3,0,1,0
all_seed_tp,delta_mask_image,0.1887160837650299,0.003080864747365316,0.009942849477132162,0.06724659932984246,0.08593756821212545,3,0,0,1,0
all_seed_tp,delta_mask_bio,0.11324623848001163,0.03984532505273819,0.09940328449010849,0.08416494934095277,0.03184419011979023,3,0,0,1,0
all_seed_tp,delta_text_only_like,0.24568734069665274,0.0487998773654302,0.1146816077331702,0.13638960859841773,0.08183151911264618,3,0,0,1,0
all_seed_tp,delta_image_only_like,-0.44683406439920265,-0.3312333400050799,-0.20641495225330195,-0.3281607855525282,0.09817473474848715,0,3,0,1,0
all_seed_tp,delta_bio_only_like,-0.10762638101975124,-0.3341378594438235,-0.29485030968983966,-0.2455381833844715,0.09882856137450746,0,3,0,1,0
majority_fn,delta_mask_text,-0.1390956143538157,-0.0784424642721812,-0.0024399360020955405,-0.07332600487603082,0.055906631830857305,0,3,0,1,0
majority_fn,delta_mask_image,0.29658252373337746,0.011619230111440023,0.04981840898593267,0.1193400542769167,0.1262958538536656,3,0,0,1,0
majority_fn,delta_mask_bio,0.07884977633754413,0.005268844465414683,0.017711259424686432,0.033943293409215085,0.03215740017734548,3,0,0,1,0
majority_fn,delta_text_only_like,0.3773332027097543,0.020567712063590687,0.06767565260330836,0.15519218912555113,0.1582503542968888,3,0,0,1,0
majority_fn,delta_image_only_like,-0.1766751737644275,-0.11743483692407608,0.021979521960020065,-0.09071016290949452,0.08327295753217227,1,2,0,0,1
majority_fn,delta_bio_only_like,0.18158527091145515,-0.07333443810542424,0.02335512638092041,0.04386865306231711,0.10507653748258584,2,1,0,0,1
seed_sensitive_positive,delta_mask_text,-0.20608187280595303,-0.2245841696858406,-0.11817355081439018,-0.18294653110206127,0.0464200960717672,0,3,0,1,0
seed_sensitive_positive,delta_mask_image,0.27459147572517395,-0.037486568093299866,0.012799419462680817,0.08330144236485164,0.13681149509054413,2,1,0,0,1
seed_sensitive_positive,delta_mask_bio,0.11450611054897308,0.04115615785121918,0.1132693737745285,0.08964388072490692,0.03428971499413949,3,0,0,1,0
seed_sensitive_positive,delta_text_only_like,0.3591478615999222,0.0033040493726730347,0.09112100303173065,0.1511909713347753,0.1513550032078051,3,0,0,1,0
seed_sensitive_positive,delta_image_only_like,-0.2460811473429203,-0.24491477012634277,-0.05523388087749481,-0.1820765994489193,0.08969261043473252,0,3,0,1,0
seed_sensitive_positive,delta_bio_only_like,0.11478279531002045,-0.2604544758796692,-0.13962940126657486,-0.09510036061207454,0.1563924103415908,1,2,0,0,1
