cross_seed_group,n_patients,n_rows,mean_pred_prob,mean_pred_prob_std
all_seed_fn,7,21,0.26743221043476034,0.059264533181011735
majority_fn,12,36,0.46787189319729805,0.12589423582089257
seed_sensitive_positive,4,12,0.604031910498937,0.1726914125649437
all_seed_tp,24,72,0.7656548346082369,0.09809282117676382
