summary_level,seed,cross_seed_group,n_patients,n_rows,mean_text_embedding_norm,mean_image_embedding_norm,mean_bio_embedding_norm,mean_patient_anchor_norm,mean_fusion_feature_norm,mean_text_anchor_cosine,mean_image_anchor_cosine,mean_bio_anchor_cosine,mean_text_image_cosine,mean_text_bio_cosine,mean_image_bio_cosine,mean_text_classifier_contribution,mean_image_classifier_contribution,mean_bio_classifier_contribution,mean_discordance_feature_norm
pooled,pooled,all_seed_fn,7,21,1.6089767728533064,14.978335108075823,15.947008950369698,15.896926380339123,15.896926380339123,-0.014765692519999686,0.016573414694340455,0.005499626376799175,-0.17940721997902506,-0.015313952806450072,0.03804493464884304,-0.0028141276644808905,-0.5145986409236988,-0.10259910176197688,15.998539076911081
pooled,pooled,all_seed_tp,24,72,1.6489647097057767,15.266633722517225,15.948328481780159,15.895300375090706,15.895300375090706,-0.01609625010880538,0.007132587850921684,-0.008159292965299554,-0.2008975363957385,-0.017484054777822975,0.03653408326337942,0.10823378031555977,-0.29957564384676516,-0.04514860542905,15.998569757850081
pooled,pooled,majority_fn,12,36,1.549385882086224,15.24753048684862,15.946900447209677,15.891181045108372,15.891181045108372,-0.008312153578218486,0.01551006201447712,-0.003986050167845355,-0.20805024831659263,-0.01844159852609866,0.04192350018355581,0.028919501695781946,-0.38648955229048926,-0.0708102864316768,15.998577197392782
pooled,pooled,seed_sensitive_positive,4,12,1.6115884880224864,15.272127628326416,15.946646213531494,15.892098108927408,15.892098108927408,-0.0030305505885432162,0.0034742504358291626,-0.006454478794087966,-0.21776775270700455,-0.023861965940644343,0.03832351408588389,0.07024003705009818,-0.3787875689255695,-0.0766501206283768,15.998575952317978
per_seed,0,all_seed_fn,7,7,1.6306161710194178,14.742679187229701,15.943525859287806,15.919667380196708,15.919667380196708,-0.011033853515982628,0.089809600263834,0.03939621203712055,-0.17693661153316498,-0.050055556531463354,-0.023758789790528163,-0.004455937338726861,-1.231600386755807,-0.35539937232221874,15.998638425554548
per_seed,0,all_seed_tp,24,24,1.6776025990645091,15.167988777160645,15.944141825040182,15.925976435343424,15.925976435343424,-0.012545390772478035,0.11748350597918034,0.035602696938440204,-0.19429719789574543,-0.03552163142012432,-0.01702737748079623,0.11047272182380159,-0.9895443369944891,-0.28563268994912505,15.998708208401998
per_seed,0,majority_fn,12,12,1.582499583562215,15.154061794281006,15.943499485651651,15.92073392868042,15.92073392868042,0.0009026058639089266,0.1163913340618213,0.03183854324743152,-0.1703267451375723,-0.05984846533586582,-0.013182961537192265,0.022781933657824993,-1.0929081340630848,-0.3103943094611168,15.998693810568916
per_seed,0,seed_sensitive_positive,4,4,1.635754644870758,15.114782810211182,15.943112134933472,15.92306399345398,15.92306399345398,-0.015037175733596087,0.11473306268453598,0.018591159489005804,-0.19354160502552986,-0.04293015692383051,-0.017968633444979787,0.04029674734920263,-1.102909117937088,-0.3352633975446224,15.998697996139526
per_seed,42,all_seed_fn,7,7,1.580825686454773,15.187182562691826,15.947730609348842,15.873200825282506,15.873200825282506,-0.036959223449230194,-0.019850194986377443,0.014002927712031774,-0.16403047846896307,-0.006740008879985128,-0.008387227143560137,-0.0006682266082082476,-0.1281829777040652,0.13130176280226027,15.998239290146602
per_seed,42,all_seed_tp,24,24,1.6223533749580383,15.32673966884613,15.949555198351542,15.864086111386618,15.864086111386618,-0.0620651935848097,-0.07179530834158261,-0.0008021128208686908,-0.19263885651404658,0.011619947579068443,-0.009157632826827466,0.09405411539288859,0.0788318799653401,0.19979508065929016,15.998217317793106
per_seed,42,majority_fn,12,12,1.5366973082224529,15.356217304865519,15.947796980539957,15.859620491663614,15.859620491663614,-0.05949829611927271,-0.04339618569550415,0.0044762492179870605,-0.21887735525767008,0.013803136069327593,-0.0035464417499800525,0.0371061721816659,5.734572187066078e-05,0.16482188366353512,15.998264365726046
per_seed,42,seed_sensitive_positive,4,4,1.592134177684784,15.235384702682495,15.947518348693848,15.861154079437256,15.861154079437256,-0.03934982744976878,-0.08038586284965277,0.0052773598581552505,-0.23941809684038162,-0.007902274373918772,-0.008316363207995892,0.08128307200968266,-0.01372372405603528,0.18206713162362576,15.998226006825764
per_seed,3407,all_seed_fn,7,7,1.6154884610857283,15.005143574305944,15.949770382472447,15.897910935538155,15.897910935538155,0.0036959994052137646,-0.02023916119443519,-0.036900260618754795,-0.19725456993494714,0.010853706992098264,0.14628082088061742,-0.003318219046507563,-0.18401255831122398,-0.08369969576597214,15.998739515032087
per_seed,3407,all_seed_tp,24,24,1.6469381550947826,15.305172721544901,15.951288421948751,15.895838578542074,15.895838578542074,0.02632183403087159,-0.02429043408483267,-0.05927846301347017,-0.21575655477742353,-0.028550480492413044,0.13578726009776196,0.12017450372998913,0.011985525488853455,-0.04960820699731509,15.998783747355143
per_seed,3407,majority_fn,12,12,1.528960754474004,15.232312361399332,15.949404875437418,15.893188714981079,15.893188714981079,0.03365922952070832,-0.026464962322885793,-0.048272942968954645,-0.23494664455453554,-0.009279466311757764,0.14249990383783975,0.026870399247854948,-0.06661786853025357,-0.06685843349744876,15.998773415883383
per_seed,3407,seed_sensitive_positive,4,4,1.6068766415119171,15.466215372085571,15.949308156967163,15.892076253890991,15.892076253890991,0.04529535141773522,-0.023924448527395725,-0.04323195572942495,-0.22034355625510216,-0.02075346652418375,0.14125553891062737,0.08914029179140925,-0.01972986478358507,-0.07675409596413374,15.998803853988647
