summary_level,seed,cross_seed_group,n_patients,n_rows,mean_full_prob,mean_mask_text_prob,mean_mask_image_prob,mean_mask_bio_prob,mean_text_only_like_prob,mean_image_only_like_prob,mean_bio_only_like_prob,mean_delta_mask_text,mean_delta_mask_image,mean_delta_mask_bio,mean_delta_text_only_like,mean_delta_image_only_like,mean_delta_bio_only_like
pooled,pooled,all_seed_fn,7,21,0.26743221043476034,0.3654198320139022,0.37234930232876823,0.25014622587089735,0.34650982162427335,0.3668208672177224,0.5036139374687558,0.09798762157914184,0.10491709189400786,-0.017285984563862995,0.07907761118951298,0.09938865678296202,0.23618172703399545
pooled,pooled,all_seed_tp,24,72,0.7656548346082369,0.44398337230086327,0.8329014339380794,0.8498197839491897,0.9020444432066547,0.43749404905570877,0.5201166512237655,-0.3216714623073737,0.06724659932984246,0.08416494934095277,0.1363896085984177,-0.32816078555252814,-0.24553818338447148
pooled,pooled,majority_fn,12,36,0.46787189319729805,0.39454588832126725,0.5872119474742148,0.5018151866065131,0.6230640823228492,0.37716173028780353,0.5117405462596152,-0.07332600487603082,0.11934005427691671,0.03394329340921508,0.1551921891255511,-0.0907101629094945,0.0438686530623171
pooled,pooled,not_positive_group,47,141,0.25706207457639224,0.3995439016015817,0.3500722128343075,0.2527691709102257,0.3398091959575495,0.40139874292814987,0.5049584704510709,0.14248182702518947,0.09301013825791525,-0.004292903666166549,0.08274712138115725,0.14433666835175762,0.24789639587467865
pooled,pooled,seed_sensitive_positive,4,12,0.604031910498937,0.4210853793968757,0.6873333528637886,0.6936757912238439,0.7552228818337122,0.42195531105001766,0.5089315498868624,-0.18294653110206127,0.08330144236485164,0.08964388072490692,0.1511909713347753,-0.1820765994489193,-0.09510036061207454
per_seed,0,all_seed_fn,7,7,0.22319950110145978,0.2186039217880794,0.4813903868198395,0.26769145471709116,0.5243400569472995,0.2058232075401715,0.5555209347179958,-0.004595579313380378,0.2581908857183797,0.04449195361563137,0.30114055584583965,-0.017376293561288288,0.332321433616536
per_seed,0,all_seed_tp,24,24,0.6822776049375534,0.2817748586336772,0.8709936887025833,0.795523843417565,0.9279649456342062,0.23544354053835073,0.5746512239178022,-0.4005027463038762,0.1887160837650299,0.11324623848001163,0.24568734069665274,-0.44683406439920265,-0.10762638101975124
per_seed,0,majority_fn,12,12,0.3855578961471717,0.24646228179335594,0.6821404198805491,0.46440767248471576,0.762891098856926,0.20888272238274416,0.5671431670586268,-0.1390956143538157,0.29658252373337746,0.07884977633754413,0.3773332027097543,-0.1766751737644275,0.18158527091145515
per_seed,0,not_positive_group,47,47,0.2238480996816082,0.2376281568344603,0.445074476935762,0.2592001819903863,0.47183141492782754,0.21267906544690438,0.5554869923185795,0.013780057152852099,0.2212263772541538,0.0353520823087781,0.24798331524621933,-0.011169034234703855,0.33163889263697127
per_seed,0,seed_sensitive_positive,4,4,0.44558684527873993,0.2395049724727869,0.7201783210039139,0.560092955827713,0.8047347068786621,0.19950569793581963,0.5603696405887604,-0.20608187280595303,0.27459147572517395,0.11450611054897308,0.3591478615999222,-0.2460811473429203,0.11478279531002045
per_seed,42,all_seed_fn,7,7,0.32661105692386627,0.4771112586770739,0.3551244650568281,0.25654688716999124,0.2783177612083299,0.45177073989595684,0.5135805010795593,0.1505002017532076,0.02851340813296182,-0.07006416975387506,-0.04829329571553639,0.1251596829720906,0.18696944415569305
per_seed,42,all_seed_tp,24,24,0.8674930135409037,0.5705864578485489,0.870573878288269,0.9073383385936419,0.9162928909063339,0.5362596735358238,0.5333551540970802,-0.29690655569235486,0.003080864747365316,0.03984532505273819,0.0487998773654302,-0.3312333400050799,-0.3341378594438235
