source_file,candidate_name,run_dir,seeds,val_auc_mean,val_auc_std,val_auprc_mean,val_auprc_std,val_sensitivity_mean,val_specificity_mean,val_balanced_accuracy_mean,val_positive_prob_mean,val_negative_prob_mean,val_pos_neg_gap_mean,max_abs_prediction_shortcut_residual_spearman,selected_epoch_mean,selected_epoch_min,selected_epoch_max,stabilization_decision,failure_reason,seed,epoch,split,train_total_loss,train_cls_loss,train_text_morphology_loss,val_total_loss,val_cls_loss,val_text_morphology_loss,val_auc,val_auprc,val_acc,val_f1,val_sensitivity,val_specificity,val_balanced_accuracy,val_pos_neg_gap,val_pred_prob_mean,val_pred_prob_std,selected_by_val_auc,label,n,mean_pred_prob,mean_mvp_pred_prob,mean_abs_error_delta_vs_mvp,fraction_improved_vs_mvp,fraction_harmed_vs_mvp,field,spearman,abs_spearman,n_unique_values,warning_if_constant
c6_epoch_dynamics.csv,w0005,,,,,,,,,,0.6161049227131173,0.4997709006705182,,,,,,,,1.0,6.0,train_val,0.660142520997698,0.6593187820437728,0.1647477097661289,0.6469035396973292,0.6461844680209955,0.1438131146132946,0.6917157084653689,0.717763144699818,0.6276595744680851,0.6728971962616823,0.7659574468085106,0.4893617021276595,0.6276595744680851,0.116334022042599,0.5579379116918178,0.1812251149698484,False,,,,,,,,,,,,
c6_epoch_dynamics.csv,w0005,,,,,,,,,,0.5613641637436887,0.4467028870861581,,,,,,,,1.0,7.0,train_val,0.6566218396291038,0.6558968101116206,0.1450058393525761,0.6434373445808887,0.642838920156161,0.1196847322086493,0.6899049343594386,0.696444860753737,0.648936170212766,0.6597938144329897,0.6808510638297872,0.6170212765957447,0.648936170212766,0.1146612766575305,0.5040335254149234,0.1773026022594045,False,,,,,,,,,,,,
c6_epoch_dynamics.csv,w0005,,,,,,,,,,0.3639956213375355,0.2548897182370754,,,,,,,,1.0,8.0,train_val,0.650086823875541,0.6494596176194829,0.1254412736620334,0.7247533909976482,0.7242222552498182,0.1062265668685237,0.7166138524219103,0.7156368670809838,0.5638297872340425,0.2545454545454544,0.1489361702127659,0.9787234042553192,0.5638297872340425,0.1091059031004601,0.3094426697873054,0.1485283186789938,False,,,,,,,,,,,,
c6_epoch_dynamics.csv,w0005,,,,,,,,,,0.4646105116352121,0.358640083131638,,,,,,,,1.0,9.0,train_val,0.6428000198689517,0.6422320860900627,0.1135870526661936,0.6470697211722533,0.6466116967300574,0.0916052373747031,0.724309642372114,0.7031506785198719,0.6702127659574468,0.5974025974025974,0.4893617021276595,0.851063829787234,0.6702127659574468,0.1059704285035741,0.411625297383425,0.1439082702605809,False,,,,,,,,,,,,
c6_epoch_dynamics.csv,w0005,,,,,,,,,,0.4987200377310844,0.3359327710213813,,,,,,,,1.0,10.0,train_val,0.6208848788446149,0.6203875359123117,0.0994686178418974,0.6876425755520662,0.6871662822862467,0.0952586301912864,0.7034857401539159,0.7377485674996904,0.6595744680851063,0.627906976744186,0.574468085106383,0.7446808510638298,0.6595744680851063,0.162787266709703,0.4173264043762328,0.2297848401504371,False,,,,,,,,,,,,
c6_epoch_dynamics.csv,w0005,,,,,,,,,,0.5121613988216888,0.363277810843701,,,,,,,,1.0,11.0,train_val,0.6084436754517207,0.6079911220547379,0.0905104701635458,0.6447411353389422,0.6443529464304447,0.0776381675774852,0.7170665459483929,0.7170868119860775,0.6595744680851063,0.6363636363636364,0.5957446808510638,0.723404255319149,0.6595744680851063,0.1488835879779877,0.4377196048326949,0.1999277518181757,False,,,,,,,,,,,,
c6_epoch_dynamics.csv,w0005,,,,,,,,,,0.6189748930170181,0.461220013968488,,,,,,,,1.0,12.0,train_val,0.604311220989322,0.6038909065012901,0.08406269875978,0.6368675008416176,0.6365152125557264,0.0704588637066384,0.7170665459483929,0.7096344192030019,0.648936170212766,0.6732673267326733,0.723404255319149,0.574468085106383,0.6489361702127661,0.1577548790485301,0.5400974534927531,0.2147117662342412,False,,,,,,,,,,,,
c6_epoch_dynamics.csv,w0005,,,,,,,,,,0.5610194656443088,0.394442284994937,,,,,,,,1.0,13.0,train_val,0.594070989761921,0.5936991666129093,0.0743652252566735,0.6312751807272434,0.6309262290596962,0.0697914448877175,0.727478497057492,0.7097182265253985,0.6595744680851063,0.6444444444444444,0.6170212765957447,0.7021276595744681,0.6595744680851063,0.1665771806493718,0.4777308753196229,0.2154005785640382,False,,,,,,,,,,,,
c6_epoch_dynamics.csv,w0005,,,,,,,,,,0.6346719956144373,0.4885365947129879,,,,,,,,1.0,14.0,train_val,0.6079104576284522,0.6075260274062882,0.076885988652114,0.6144543352226416,0.6141636334359646,0.0581397919449955,0.7564508827523766,0.7399237525525642,0.648936170212766,0.6857142857142856,0.7659574468085106,0.5319148936170213,0.648936170212766,0.1461354009014494,0.5616042951637126,0.1724348258042018,True,,,,,,,,,,,,
c6_epoch_dynamics.csv,w0005,,,,,,,,,,0.7178562169379377,0.5479154307791527,,,,,,,,1.0,15.0,train_val,0.5903758414533754,0.5900438251282205,0.0664032147765554,0.6788206348816553,0.6784835793077946,0.0674114666568736,0.7206880941602536,0.6901407848475383,0.648936170212766,0.7130434782608696,0.8723404255319149,0.425531914893617,0.648936170212766,0.1699407861587849,0.6328858238585452,0.2222276228863147,False,,,,,,,,,,,,
