split,AUC_mean,AUC_std,Sensitivity_mean,Specificity_mean,Balanced_ACC_mean,C17_AUC_mean,C27_AUC_mean,C32_minus_C17_AUC_mean,C32_minus_C27_AUC_mean
val,0.8743020974800061,0.0171207550601835,0.7659574468085105,0.7801418439716312,0.7730496453900709,0.8696242643730194,0.8822996831145314,0.0046778331069865,-0.0079975856345254
test,0.8454270597127741,0.025819075788284573,0.8174603174603176,0.746031746031746,0.7817460317460317,,,,
