seed,epoch,train_bce_loss,val_auc,val_sensitivity,val_specificity,val_balanced_accuracy,val_positive_probability_mean,val_negative_probability_mean,val_positive_negative_gap,pairwise_inversion_count,image_projector_grad_norm,text_projector_grad_norm,bio_projector_grad_norm,image_projector_relative_drift,text_projector_relative_drift,bio_projector_relative_drift,selected_by_val_auc
0,1,0.4186147079611851,0.8940697148030783,0.8297872340425532,0.7021276595744681,0.7659574468085106,0.7329863775917824,0.2925769258092375,0.4404094517825448,234,0.5144226016802325,6.392905649913666,0.5440950098852902,0.0172555875609721,0.0064617763594068,0.0069917690925561,True
0,2,0.4147585993570997,0.8832050701674966,0.7446808510638298,0.7872340425531915,0.7659574468085106,0.6885867221875394,0.2619298747542532,0.4266568474332861,258,0.5258677618812242,6.65156994396244,0.5557310381464899,0.0319783923441452,0.0105349689289232,0.0124005675099458,False
0,3,0.4019883868611411,0.8804889090086011,0.7446808510638298,0.7872340425531915,0.7659574468085106,0.6921098018263249,0.2664579999969995,0.4256518018293254,264,0.5683305054438593,7.039728527610543,0.584657351435187,0.0440886817819172,0.0136045607469179,0.0158625446906393,False
0,4,0.3882079917863504,0.8800362154821186,0.7872340425531915,0.6808510638297872,0.7340425531914894,0.7375155154694902,0.2976803954373649,0.4398351200321253,265,0.5604043729349335,7.07103770083833,0.5828494303245723,0.0602534508622167,0.0171063140212807,0.0198816378281096,False
0,5,0.3958044188800237,0.8818469895880489,0.723404255319149,0.7872340425531915,0.7553191489361702,0.6886979885240818,0.2537062680645984,0.4349917204594833,261,0.5831613354030002,7.432237550378677,0.6106936739298108,0.070762905713356,0.0190292545130445,0.0226412343973596,False
0,6,0.3802031660514162,0.8773200543232231,0.7872340425531915,0.6808510638297872,0.7340425531914894,0.7344474453241268,0.2934010610321259,0.4410463842920008,271,0.6251850995167979,7.787285079299051,0.6250260846732777,0.0842981792454815,0.0214978215562999,0.0256938786186929,False
0,7,0.3857420779123212,0.8827523766410139,0.7872340425531915,0.6808510638297872,0.7340425531914894,0.7377499218316789,0.2858146374371457,0.4519352843945331,259,0.6488145059093321,7.884391073904955,0.6235916494870422,0.0989102876081313,0.0238677386799329,0.0281675060395422,False
0,8,0.3693963181696191,0.8773200543232231,0.7446808510638298,0.7446808510638298,0.7446808510638298,0.6941108262919365,0.2628043042793077,0.4313065220126288,271,0.6696746942706593,8.00931376551187,0.6246173147027987,0.1121435514544072,0.026446920385891,0.0312580024091295,False
0,9,0.3739996800408853,0.8777727478497057,0.7659574468085106,0.723404255319149,0.7446808510638299,0.7103823008055382,0.2744328973497799,0.4359494034557583,270,0.7118162631240853,8.438032292091282,0.6539815482674737,0.1260899702213736,0.0290064681692525,0.0341118873371166,False
42,1,0.4345729935741582,0.8646446355817112,0.6808510638297872,0.851063829787234,0.7659574468085106,0.6044294667687822,0.2260658796678515,0.3783635871009306,299,1.131661324019236,6.714356716161827,0.8903685858661188,0.0127676239387862,0.0053593852521711,0.0106268256888735,True
42,2,0.4371343935463602,0.8578542326844726,0.7872340425531915,0.8085106382978723,0.7978723404255319,0.6600237904076881,0.2713880894824545,0.3886357009252336,314,1.214089981155405,7.030365997515541,0.9301319393703652,0.0225369120380909,0.0087292622940636,0.0181809055105391,False
42,3,0.4246813645524694,0.8569488456315075,0.8085106382978723,0.723404255319149,0.7659574468085106,0.7384933379102261,0.3247889444984971,0.413704393411729,316,1.1648205779839742,6.849917070185148,0.9419826233355472,0.0314166459471387,0.0119394928684669,0.0229610606773081,False
42,4,0.4324794094392795,0.8555907650520598,0.8085106382978723,0.7872340425531915,0.7978723404255319,0.7058964637999839,0.3024012209807938,0.4034952428191901,319,1.2828349299681323,7.447936181750875,0.9895327617913334,0.0349548144444447,0.013738508454841,0.0257868780056886,False
42,5,0.4202367872591839,0.8578542326844726,0.8085106382978723,0.7872340425531915,0.7978723404255319,0.7229869324476161,0.3075593829432383,0.4154275495043777,314,1.2990474955846223,7.707304007290737,1.0457327504032248,0.0409316232768585,0.01611171376366,0.0289387072824297,False
42,6,0.4216548039004305,0.8578542326844726,0.7021276595744681,0.8085106382978723,0.7553191489361701,0.6475487408485818,0.2510475500268822,0.3965011908216996,314,1.3018255851584468,7.524847942010049,0.9955192520628304,0.0448163454533625,0.0176121298765662,0.0317684150304163,False
42,7,0.4267662755700926,0.8560434585785424,0.8085106382978723,0.7659574468085106,0.7872340425531914,0.7312710161538835,0.3146341748218587,0.4166368413320247,318,1.254001892626576,7.592098175939901,1.020122786302412,0.0505739937237419,0.0199442641068961,0.0334031148178884,False
42,8,0.4115279501933135,0.8623811679492983,0.7872340425531915,0.7872340425531915,0.7872340425531915,0.6809154314563629,0.2713929986125453,0.4095224328438176,304,1.3117154171091676,7.830110234916572,1.02376511439608,0.0555783467468129,0.0215508993352882,0.0367192701135697,False
42,9,0.4044548307132247,0.8596650067904028,0.7659574468085106,0.8085106382978723,0.7872340425531914,0.6612138817919061,0.2581467363547454,0.4030671454371606,310,1.2919073331525903,7.687609060146302,1.0225957375579868,0.061555130755068,0.0238542971324746,0.0392482945632258,False
3407,1,0.4853464958091445,0.8641919420552286,0.7872340425531915,0.7872340425531915,0.7872340425531915,0.6669374209769229,0.2608799926659211,0.4060574283110018,300,0.956607833398756,6.232114523923831,0.7583210953371605,0.0130110347689981,0.0050777650589409,0.0057270264017004,True
3407,2,0.4692181310807632,0.8614757808963331,0.7872340425531915,0.7872340425531915,0.7872340425531915,0.69542623247872,0.2887521375842551,0.4066740948944649,306,0.836989270396341,5.587082628695254,0.6584391372220639,0.0218370096335962,0.0084502441998687,0.0119680429175618,False
3407,3,0.4626365986387461,0.8587596197374378,0.7659574468085106,0.8297872340425532,0.7978723404255319,0.6399758141091529,0.245673852695271,0.3943019614138818,312,0.9661563534281534,6.07487928287953,0.7058947157325708,0.0302630270655236,0.0103183674736028,0.0158403571424395,False
3407,4,0.458716773138141,0.8587596197374378,0.7659574468085106,0.8085106382978723,0.7872340425531914,0.6782085480208092,0.2771280415237267,0.4010805064970825,312,1.0458555845883477,6.216283754041794,0.7228106249613925,0.0367956912648156,0.0138842819482833,0.0220452293452531,False
3407,5,0.4588827863829025,0.8614757808963331,0.8085106382978723,0.7659574468085106,0.7872340425531914,0.7233183778663899,0.3021881146990555,0.4211302631673343,306,1.061785465298296,6.351167268050506,0.7333739073002434,0.045941339499177,0.0160895722825281,0.0257844518647425,False
3407,6,0.4581371314379553,0.8605703938433681,0.7659574468085106,0.8085106382978723,0.7872340425531914,0.6612266520077877,0.2545547564414904,0.4066718955662973,308,1.0739372948182877,6.517856664376396,0.7265010773706134,0.0498895280444369,0.0182058290759315,0.0294858641575897,False
3407,7,0.4510954093459426,0.8583069262109552,0.7659574468085106,0.8085106382978723,0.7872340425531914,0.6659592505782208,0.2616509149802175,0.4043083355980033,313,1.1049730731077834,6.58324628244223,0.7345866752494028,0.0549179043533894,0.0206861307286409,0.0321512485384079,False
3407,8,0.4555434554025827,0.8601177003168854,0.7659574468085106,0.8085106382978723,0.7872340425531914,0.6496287129343824,0.2472209465947557,0.4024077663396267,309,1.1983384740310368,7.148057922464823,0.7768716949414703,0.0611570574200287,0.0234321685191005,0.0358548828337113,False
3407,9,0.4513581847611642,0.8587596197374378,0.7659574468085106,0.8085106382978723,0.7872340425531914,0.6464528248031088,0.2458356280632792,0.4006171967398295,312,1.1395424200305075,6.885576148016119,0.7401234925732757,0.0637636578425549,0.0258179562945199,0.0381791468167781,False
