seed,split,best_epoch,AUC,Sensitivity,Specificity,Balanced_ACC,TN,FP,FN,TP,bce_loss,positive_probability_mean,negative_probability_mean,positive_negative_gap,pairwise_inversion_count,prediction_std,n_rows,image_projector_grad_norm,text_projector_grad_norm,bio_projector_grad_norm,C17_AUC,C27_AUC,C32_minus_C17_AUC,C32_minus_C27_AUC,minor_AUC_variation_vs_C27
0,val,1,0.8940697148030783,0.8297872340425532,0.7021276595744681,0.7659574468085106,33,14,8,39,0.4149986760069926,0.7329863775917824,0.2925769258092375,0.4404094517825448,234,0.3222334784052073,94,0.0,0.0,0.0,0.8700769578995021,0.901765504753282,0.0239927569035761,-0.0076957899502037,False
42,val,1,0.8646446355817112,0.6808510638297872,0.851063829787234,0.7659574468085106,40,7,15,32,0.480687375801305,0.6044294667687822,0.2260658796678515,0.3783635871009306,299,0.3065552725646759,94,0.0,0.0,0.0,0.8768673607967407,0.8714350384789498,-0.0122227252150294,-0.0067904028972385,False
3407,val,1,0.8641919420552286,0.7872340425531915,0.7872340425531915,0.7872340425531915,37,10,10,37,0.4615401088570555,0.6669374209769229,0.2608799926659211,0.4060574283110018,300,0.3158385379266861,94,0.0,0.0,0.0,0.8619284744228157,0.8736985061113627,0.0022634676324129,-0.009506564056134,False
0,test,1,0.8259637188208617,0.8571428571428571,0.6666666666666666,0.7619047619047619,28,14,6,36,0.510155744495846,0.7422619476204827,0.3526975237653546,0.3895644238551281,307,0.3306610825260271,84,0.0,0.0,0.0,,,,,
42,test,1,0.8747165532879819,0.7857142857142857,0.8333333333333334,0.8095238095238095,35,7,9,33,0.4378980994224548,0.6438809391998109,0.2439210685635251,0.3999598706362858,221,0.3049177448015193,84,0.0,0.0,0.0,,,,,
3407,test,1,0.8356009070294785,0.8095238095238095,0.7380952380952381,0.7738095238095238,31,11,8,34,0.4826118981554395,0.6836975592942465,0.3035348404775418,0.3801627188167046,290,0.3138762659282127,84,0.0,0.0,0.0,,,,,
