seed,c17_tp_to_c32_fn,c17_fn_to_c32_tp,c32_sensitivity,c17_sensitivity,c27_sensitivity,c32_minus_c17_sensitivity,c27_material_positive_damage_count,c32_material_positive_damage_count,c32_minus_c27_material_damage
0,5,9,0.8297872340425532,0.7446808510638298,0.851063829787234,0.08510638297872342,12,14,2
42,11,2,0.6808510638297872,0.8723404255319149,0.723404255319149,-0.19148936170212771,21,27,6
3407,5,5,0.7872340425531915,0.7872340425531915,0.8085106382978723,0.0,9,13,4
