split,AUC_mean,AUC_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Balanced_ACC_mean,Balanced_ACC_std,prediction_std_mean,prediction_std_std
test,0.8439153439153438,0.029923883443876,0.8412698412698413,0.0274928699614107,0.7380952380952381,0.0412393049421161,0.7896825396825397,0.0299596604574236,0.3308720325649664,0.0129324214257258
val,0.8822996831145314,0.0168958421064024,0.7943262411347517,0.0650010736873168,0.8014184397163121,0.0535449250728422,0.797872340425532,0.0106382978723403,0.3248666387117693,0.0084460832986142
