seed,epoch,train_bce_loss,val_auc,val_sensitivity,val_specificity,val_balanced_accuracy,val_positive_probability_mean,val_negative_probability_mean,val_positive_negative_gap,mean_temporal_weight_latest,mean_temporal_weight_history,mean_temporal_weight_entropy,fraction_latest_weight_above_0_90,fraction_uniform_temporal_weight,mean_patient_state_norm,std_patient_state_norm,prediction_std,pairwise_inversion_count,selected_by_val_auc,mean_conflict_M1,mean_conflict_M2,mean_conflict_M3,mean_conflict_M4,mean_conflict_M5
0,1,0.6047992715180315,0.8705296514259846,0.9361702127659576,0.6808510638297872,0.8085106382978724,0.7349092668675362,0.3996413244687496,0.3352679423987866,0.6961737806175617,0.3038262179557313,0.6193272525366887,0.3489361702127659,0.0,15.996793290402026,0.0012927987889294,0.2618235975690596,286,False,0.0656156603326188,6.240733126376538e-06,0.0003496243598613,0.3344578197661866,0.3283111116987594
0,2,0.5546699102153841,0.8605703938433681,0.8085106382978723,0.8297872340425532,0.8191489361702127,0.647377628753794,0.2858745366176392,0.3615030921361548,0.6916036410851681,0.3083963584392629,0.607834984968628,0.3531914893617021,0.0,15.993868655346809,0.0029272044529367,0.2843994869460191,308,False,0.0656156603326188,6.240733126376538e-06,0.0003496243598613,0.3344578197661866,0.3283111116987594
0,3,0.5442402164470281,0.8741511996378452,0.4680851063829787,0.8936170212765957,0.6808510638297872,0.5219059134734437,0.2154987671789019,0.3064071462945418,0.6922545713630128,0.3077454281614182,0.6025124449086252,0.3574468085106383,0.0,15.991773169091408,0.0050998246479732,0.238048701502054,278,False,0.0656156603326188,6.240733126376538e-06,0.0003496243598613,0.3344578197661866,0.3283111116987594
0,4,0.5346502507759245,0.87324581258488,0.9574468085106383,0.6382978723404256,0.7978723404255319,0.7567944656661216,0.3998557161143485,0.356938749551773,0.6937066659014276,0.3062933353667563,0.5933544886280184,0.3659574468085106,0.0,15.987737199093432,0.0029058770188919,0.2742444001082372,280,False,0.0656156603326188,6.240733126376538e-06,0.0003496243598613,0.3344578197661866,0.3283111116987594
0,5,0.5230891220024879,0.8641919420552286,0.5106382978723404,0.8723404255319149,0.6914893617021276,0.537454902016102,0.2044751918379296,0.3329797101781723,0.673308809069877,0.326691189978985,0.6022845322822573,0.3595744680851064,0.0,15.988299278502769,0.0066467936548324,0.2744576110641075,300,False,0.0656156603326188,6.240733126376538e-06,0.0003496243598613,0.3344578197661866,0.3283111116987594
0,6,0.531043409511743,0.8718877320054323,0.8723404255319149,0.8085106382978723,0.8404255319148937,0.6597963558866623,0.3113510923539387,0.3484452635327235,0.6814479311095908,0.3185520698415472,0.6041828099124545,0.351063829787234,0.0,15.98149928640812,0.0045103402056315,0.2656724437058375,283,False,0.0656156603326188,6.240733126376538e-06,0.0003496243598613,0.3344578197661866,0.3283111116987594
0,7,0.5082329384834561,0.8650973291081938,0.8085106382978723,0.7446808510638298,0.776595744680851,0.6920669500498061,0.2874187874964418,0.4046481625533643,0.669387400942914,0.3306125998497009,0.5997924535239567,0.3574468085106383,0.0,15.98221303047018,0.0066814643366955,0.3162467904267566,298,False,0.0656156603326188,6.240733126376538e-06,0.0003496243598613,0.3344578197661866,0.3283111116987594
0,8,0.5112224059389127,0.8623811679492984,0.9148936170212766,0.6382978723404256,0.7765957446808511,0.7550676480886784,0.396753219927245,0.3583144281614334,0.6806600296750982,0.3193399709589938,0.6012294634900766,0.3553191489361701,0.0,15.975409578769764,0.0066577242757071,0.2830775741245844,304,False,0.0656156603326188,6.240733126376538e-06,0.0003496243598613,0.3344578197661866,0.3283111116987594
0,9,0.5094808395335216,0.8786781349026709,0.9574468085106383,0.6382978723404256,0.7978723404255319,0.7665100230815562,0.3881511588561091,0.3783588642254471,0.6766751806469674,0.3233248210967855,0.5947176462199396,0.3574468085106383,0.0,15.970849189352482,0.0086884188878452,0.2886158233664919,268,False,0.0656156603326188,6.240733126376538e-06,0.0003496243598613,0.3344578197661866,0.3283111116987594
0,10,0.5001439858746055,0.881846989588049,0.9148936170212766,0.723404255319149,0.8191489361702128,0.6971962800685395,0.3309011928380487,0.3662950872304908,0.6801849741567957,0.3198150244164974,0.5910631006109525,0.3617021276595745,0.0,15.970046510087682,0.0083308035891039,0.2743685804274608,261,False,0.0656156603326188,6.240733126376538e-06,0.0003496243598613,0.3344578197661866,0.3283111116987594
