seed,parameter,trainable,numel
0,frozen_sources.image_encoder.backbone.0.weight,False,4704
0,frozen_sources.image_encoder.backbone.0.bias,False,32
0,frozen_sources.image_encoder.backbone.1.weight,False,32
0,frozen_sources.image_encoder.backbone.1.bias,False,32
0,frozen_sources.image_encoder.backbone.4.weight,False,18432
0,frozen_sources.image_encoder.backbone.4.bias,False,64
0,frozen_sources.image_encoder.backbone.5.weight,False,64
0,frozen_sources.image_encoder.backbone.5.bias,False,64
0,frozen_sources.image_encoder.proj.2.weight,False,16384
0,frozen_sources.image_encoder.proj.2.bias,False,256
0,frozen_sources.image_encoder.proj.3.weight,False,256
0,frozen_sources.image_encoder.proj.3.bias,False,256
0,frozen_sources.text_encoder.embedding.weight,False,12800000
0,frozen_sources.text_encoder.proj.1.weight,False,65536
0,frozen_sources.text_encoder.proj.1.bias,False,256
0,frozen_sources.text_encoder.proj.3.weight,False,256
0,frozen_sources.text_encoder.proj.3.bias,False,256
0,frozen_sources.bio_encoder.medical.0.weight,False,3584
0,frozen_sources.bio_encoder.medical.0.bias,False,256
0,frozen_sources.bio_encoder.medical.3.weight,False,256
0,frozen_sources.bio_encoder.medical.3.bias,False,256
0,frozen_sources.bio_encoder.observation.0.weight,False,1792
0,frozen_sources.bio_encoder.observation.0.bias,False,256
0,frozen_sources.bio_encoder.observation.3.weight,False,256
0,frozen_sources.bio_encoder.observation.3.bias,False,256
0,frozen_sources.bio_encoder.token_proj.weight,False,256
0,frozen_sources.bio_encoder.token_proj.bias,False,256
0,frozen_sources.image_projector.queries,False,1280
0,frozen_sources.image_projector.attn.in_proj_weight,False,196608
0,frozen_sources.image_projector.attn.in_proj_bias,False,768
0,frozen_sources.image_projector.attn.out_proj.weight,False,65536
0,frozen_sources.image_projector.attn.out_proj.bias,False,256
0,frozen_sources.image_projector.out.0.weight,False,256
0,frozen_sources.image_projector.out.0.bias,False,256
0,frozen_sources.image_projector.out.1.weight,False,65536
0,frozen_sources.image_projector.out.1.bias,False,256
0,frozen_sources.image_projector.out.4.weight,False,65536
0,frozen_sources.image_projector.out.4.bias,False,256
0,frozen_sources.image_projector.out.5.weight,False,256
0,frozen_sources.image_projector.out.5.bias,False,256
0,frozen_sources.text_projector.queries,False,1536
0,frozen_sources.text_projector.out.0.weight,False,256
0,frozen_sources.text_projector.out.0.bias,False,256
0,frozen_sources.text_projector.out.1.weight,False,65536
0,frozen_sources.text_projector.out.1.bias,False,256
0,frozen_sources.text_projector.out.4.weight,False,65536
0,frozen_sources.text_projector.out.4.bias,False,256
0,frozen_sources.text_projector.out.5.weight,False,256
0,frozen_sources.text_projector.out.5.bias,False,256
0,frozen_sources.text_projector.temporal_proj.0.weight,False,262144
0,frozen_sources.text_projector.temporal_proj.0.bias,False,256
0,frozen_sources.text_projector.temporal_proj.3.weight,False,256
0,frozen_sources.text_projector.temporal_proj.3.bias,False,256
0,frozen_sources.text_projector.temporal_conflict.weight,False,256
0,frozen_sources.text_projector.temporal_conflict.bias,False,1
0,frozen_sources.bio_projector.input_norm.weight,False,256
0,frozen_sources.bio_projector.input_norm.bias,False,256
0,frozen_sources.bio_projector.group_proj.0.0.weight,False,65536
0,frozen_sources.bio_projector.group_proj.0.0.bias,False,256
0,frozen_sources.bio_projector.group_proj.0.3.weight,False,256
0,frozen_sources.bio_projector.group_proj.0.3.bias,False,256
0,frozen_sources.bio_projector.group_proj.1.0.weight,False,65536
0,frozen_sources.bio_projector.group_proj.1.0.bias,False,256
0,frozen_sources.bio_projector.group_proj.1.3.weight,False,256
0,frozen_sources.bio_projector.group_proj.1.3.bias,False,256
0,frozen_sources.bio_projector.group_proj.2.0.weight,False,65536
0,frozen_sources.bio_projector.group_proj.2.0.bias,False,256
0,frozen_sources.bio_projector.group_proj.2.3.weight,False,256
0,frozen_sources.bio_projector.group_proj.2.3.bias,False,256
0,core.empty_slot_tokens,True,1280
0,core.temporal_norm.weight,True,256
0,core.temporal_norm.bias,True,256
0,core.temporal_linear.weight,True,65536
0,core.temporal_linear.bias,True,256
0,core.temporal_output.weight,True,256
0,core.temporal_output.bias,True,1
0,core.patient_projection.0.weight,True,394496
0,core.patient_projection.0.bias,True,256
0,core.patient_projection.2.weight,True,256
0,core.patient_projection.2.bias,True,256
0,core.classifier.1.weight,True,256
0,core.classifier.1.bias,True,1
42,frozen_sources.image_encoder.backbone.0.weight,False,4704
42,frozen_sources.image_encoder.backbone.0.bias,False,32
42,frozen_sources.image_encoder.backbone.1.weight,False,32
42,frozen_sources.image_encoder.backbone.1.bias,False,32
42,frozen_sources.image_encoder.backbone.4.weight,False,18432
42,frozen_sources.image_encoder.backbone.4.bias,False,64
42,frozen_sources.image_encoder.backbone.5.weight,False,64
42,frozen_sources.image_encoder.backbone.5.bias,False,64
42,frozen_sources.image_encoder.proj.2.weight,False,16384
42,frozen_sources.image_encoder.proj.2.bias,False,256
42,frozen_sources.image_encoder.proj.3.weight,False,256
42,frozen_sources.image_encoder.proj.3.bias,False,256
42,frozen_sources.text_encoder.embedding.weight,False,12800000
42,frozen_sources.text_encoder.proj.1.weight,False,65536
42,frozen_sources.text_encoder.proj.1.bias,False,256
42,frozen_sources.text_encoder.proj.3.weight,False,256
42,frozen_sources.text_encoder.proj.3.bias,False,256
42,frozen_sources.bio_encoder.medical.0.weight,False,3584
42,frozen_sources.bio_encoder.medical.0.bias,False,256
42,frozen_sources.bio_encoder.medical.3.weight,False,256
42,frozen_sources.bio_encoder.medical.3.bias,False,256
42,frozen_sources.bio_encoder.observation.0.weight,False,1792
42,frozen_sources.bio_encoder.observation.0.bias,False,256
42,frozen_sources.bio_encoder.observation.3.weight,False,256
42,frozen_sources.bio_encoder.observation.3.bias,False,256
42,frozen_sources.bio_encoder.token_proj.weight,False,256
42,frozen_sources.bio_encoder.token_proj.bias,False,256
42,frozen_sources.image_projector.queries,False,1280
42,frozen_sources.image_projector.attn.in_proj_weight,False,196608
42,frozen_sources.image_projector.attn.in_proj_bias,False,768
42,frozen_sources.image_projector.attn.out_proj.weight,False,65536
42,frozen_sources.image_projector.attn.out_proj.bias,False,256
42,frozen_sources.image_projector.out.0.weight,False,256
42,frozen_sources.image_projector.out.0.bias,False,256
42,frozen_sources.image_projector.out.1.weight,False,65536
42,frozen_sources.image_projector.out.1.bias,False,256
42,frozen_sources.image_projector.out.4.weight,False,65536
42,frozen_sources.image_projector.out.4.bias,False,256
