seed,epoch,selected_by_val_auc,train_total_loss,train_classification_loss,train_residual_loss,train_positive_preserve_loss,train_negative_preserve_loss,train_high_confidence_preserve_loss,val_AUC,val_Sensitivity,val_Specificity,val_Balanced_ACC,val_TN,val_FP,val_FN,val_TP,val_total_loss,val_classification_loss,val_residual_loss,val_positive_preserve_loss,val_negative_preserve_loss,val_high_confidence_preserve_loss,val_positive_prob_mean,val_negative_prob_mean,val_probability_gap,val_confidence_gate_mean,val_confidence_gate_positive_mean,val_confidence_gate_negative_mean,val_delta_mean,val_delta_std,val_positive_delta_mean,val_negative_delta_mean,val_fraction_positive_delta_below_minus_0_05,val_fraction_negative_delta_above_plus_0_05,val_mean_abs_delta_low,val_mean_abs_delta_medium,val_mean_abs_delta_high,val_fraction_near_negative_bound,val_fraction_near_positive_bound,val_pairwise_inversion_count,val_n_rows
0,1,False,0.5013826063137181,0.5013808434372706,2.3054906199754955e-05,0.0,0.0,0.000174257861334,0.8696242643730195,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.4782447159911195,0.4782411487152179,3.663149971562992e-05,0.0,0.0,0.0003527081080392,0.6151112430590264,0.2796521457506621,0.3354590973083643,0.4081324825083163,0.4695399520680942,0.3467250129485384,0.0047109467518615,0.003791694014842,0.0057232682726301,0.0036986252310929,0.0,0.0,0.0085700355137565,0.0030784855536632,0.0007200211305947,0.0,0.0,288,94
0,2,False,0.5001903589790231,0.5001872751294383,4.3583132297056407e-05,0.0,5.037476584648356e-05,0.000203447222612,0.869171570846537,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.4774164815122882,0.4773676622038086,0.0003213495723457,0.0,0.0019103906233794,0.0010291295705731,0.617550383381387,0.2811748053720023,0.3363755780093847,0.4081324825083163,0.4695399520680942,0.3467250129485384,0.013705166016657,0.0115350734575036,0.0167274629552303,0.0106828690780836,0.0,0.0,0.0251115636667236,0.0090018535070571,0.0021280861246244,0.0,0.0,289,94
0,3,False,0.500638925279213,0.5004817431928307,0.00091269499491,0.0,0.007403204609202,0.0008205378161444,0.8687188773200544,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.4765376774594188,0.4763781381770968,0.0010243793550065,0.0,0.0070402018949001,0.0017704771647307,0.6204009753592471,0.2829089949026386,0.3374919804566084,0.4081324825083163,0.4695399520680942,0.3467250129485384,0.0240448314378885,0.0211014624565472,0.0296032071618878,0.0184864557138891,0.0,0.1276595744680851,0.0449309144534968,0.0157994554247125,0.0037071553252947,0.0,0.0,290,94
0,4,False,0.5001680061517172,0.4998981776024332,0.0015827518122541,9.353086043963368e-06,0.0128766276486432,0.0010527369956934,0.8678134902670892,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.476134586147964,0.4759210149447123,0.0015195680559069,0.0001593645429238,0.0095507575024385,0.0017856550427192,0.6215107242794747,0.2834052778384153,0.3381054464410594,0.4081324825083163,0.4695399520680942,0.3467250129485384,0.0273679866235049,0.0277363034687224,0.0345601416155795,0.0201758316314303,0.0,0.1702127659574468,0.0552038441279104,0.0185391244158381,0.0038691267409982,0.0,0.0,292,94
0,5,False,0.4991627093774593,0.498883277868593,0.0020760981931153,7.849499669592112e-06,0.013036241629608,0.0016472202847906,0.8687188773200544,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.4761415527512629,0.4759557868043582,0.0013548842269604,0.0006947849566737,0.0076643648984221,0.0017224044178571,0.6202568571935309,0.2820305335632664,0.3382263236302644,0.4081324825083163,0.4695399520680942,0.3467250129485384,0.0206970306747841,0.0303955277972774,0.0287248591094852,0.012669202240083,0.0212765957446808,0.1489361702127659,0.0506641848944127,0.0170954942891099,0.0036346340200301,0.0,0.0,290,94
0,6,False,0.4974472347079523,0.4972234630821556,0.0018248560298775,0.0004584101002334,0.0097564073062763,0.0017649640553917,0.8678134902670892,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.4758445459107558,0.4755907018358509,0.0019613624153862,0.0009038518765009,0.0105591502057601,0.0022625534547842,0.6215706025349333,0.2827021776837237,0.3388684248512096,0.4081324825083163,0.4695399520680942,0.3467250129485384,0.0248913758905667,0.0366413335596961,0.0346623813006482,0.0151203704804852,0.0425531914893617,0.1702127659574468,0.0605525121159319,0.0215057344890241,0.0046339630564034,0.0,0.0,292,94
0,7,False,0.4971004765949502,0.4968644431884715,0.0018234735371453,0.0006214882615669,0.0096988107427794,0.0027802407848324,0.8678134902670892,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.4759710331757863,0.4756784550845623,0.0022599284222148,0.0012783108589549,0.0117688206907284,0.0029381297596652,0.6217194911330304,0.2827297371435672,0.3389897539894631,0.4081324825083163,0.4695399520680942,0.3467250129485384,0.0249691982100286,0.0404864326667173,0.035345291784479,0.0145931046355783,0.0425531914893617,0.1702127659574468,0.0636400666462057,0.0246432088474235,0.0059141493208395,0.0,0.0,292,94
0,8,True,0.4966994488476128,0.4963581832434168,0.0029958640071039,0.0005076504200666,0.0150345142002507,0.0027425508670175,0.8714350384789498,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.4758221327016751,0.4755889618148406,0.0018759942346756,0.0029603909157837,0.006592547528271,0.0040236953209387,0.619265375619239,0.2800674762259773,0.3391978993932617,0.4081324825083163,0.4695399520680942,0.3467250129485384,0.0127768773491744,0.0413007389765482,0.0240576668636888,0.00149608783466,0.0638297872340425,0.0851063829787234,0.0546010444472943,0.0245828607555515,0.0081430189389114,0.0,0.0,284,94
0,9,False,0.4953339064358086,0.4950106628979279,0.0027520059734553,0.0014249494126596,0.0130047478837605,0.0031899060417561,0.8682661837935718,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.4762582092856367,0.4759535218278567,0.002344929199656,0.0030264410888776,0.0100797920507223,0.004021638138056,0.6201997553097441,0.2811947072202221,0.339005048089522,0.4081324825083163,0.4695399520680942,0.3467250129485384,0.0174181512378554,0.0451227532245643,0.0284854756157964,0.0063508268599144,0.0638297872340425,0.1276595744680851,0.0626808161980339,0.0280175084057687,0.0080863787979372,0.0,0.0,291,94
0,10,False,0.4967143735940882,0.4963415711131317,0.0032191621240111,0.0012827238140455,0.0154082010648928,0.0035766359813363,0.8709823449524672,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.4761010141422351,0.4758126189311345,0.0022689592578899,0.0047764945193193,0.0071282097972774,0.0048026072327047,0.618882767380552,0.2796706348419823,0.3392121325385697,0.4081324825083163,0.4695399520680942,0.3467250129485384,0.0107582571850953,0.0463195890024441,0.0224164820240904,-0.0008999676538997,0.1063829787234042,0.0851063829787234,0.0605997716608856,0.0279192395315807,0.0097276220253358,0.0,0.0,285,94
