seed,confidence_group,n,mean_abs_delta,mean_delta,mean_gate
0,low,35,0.054601044447294265,0.03567685013903036,0.705049261876515
0,medium,44,0.024582860755551546,0.0011146799519007216,0.2813591327179562
0,high,15,0.0081430189389114,-0.006447280128486413,0.08719515670090912
42,low,32,0.031090664793737188,-0.031090664793737188,0.6844603391364217
42,medium,34,0.011301594868521433,-0.011301594868521433,0.24707803480765395
42,high,28,0.0037081310973527217,-0.0037081310973527217,0.08054096557732135
3407,low,40,0.005557610242976756,0.00046285552525657985,0.672777533531189
3407,medium,38,0.0037670835803222573,-0.0009915154593105326,0.2685415834972733
3407,high,16,0.0012652995319512648,-0.00014791055946263514,0.09006337070604781
