split,AUC_mean,AUC_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Balanced_ACC_mean,Balanced_ACC_std,delta_mean_mean,delta_mean_std,delta_std_mean,delta_std_std
test,0.8450491307634165,0.0039817285536102,0.7777777777777778,0.0363696483726653,0.7301587301587302,0.0274928699614107,0.753968253968254,0.0068732174903526,-0.001464809119329,0.0111403130326371,0.0187554651884635,0.017578993691458
val,0.8703787535838238,0.0070761274107097,0.7943262411347517,0.0535449250728422,0.7872340425531914,0.0212765957446808,0.7907801418439716,0.0373604743008962,-0.0010761937383962,0.0142954853000506,0.0199624712764441,0.0187679209394153
