seed,split,best_epoch,AUC,Sensitivity,Specificity,Balanced_ACC,TN,FP,FN,TP,total_loss,classification_loss,residual_loss,positive_preserve_loss,negative_preserve_loss,high_confidence_preserve_loss,positive_prob_mean,negative_prob_mean,probability_gap,confidence_gate_mean,confidence_gate_positive_mean,confidence_gate_negative_mean,delta_mean,delta_std,positive_delta_mean,negative_delta_mean,fraction_positive_delta_below_minus_0_05,fraction_negative_delta_above_plus_0_05,mean_abs_delta_low,mean_abs_delta_medium,mean_abs_delta_high,fraction_near_negative_bound,fraction_near_positive_bound,pairwise_inversion_count,n_rows
0,val,8,0.8714350384789498,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.4758221327016751,0.4755889618148406,0.0018759942346756,0.0029603909157837,0.006592547528271,0.0040236953209387,0.619265375619239,0.2800674762259773,0.3391978993932617,0.4081324825083163,0.4695399520680942,0.3467250129485384,0.0127768773491744,0.0413007389765482,0.0240576668636888,0.00149608783466,0.0638297872340425,0.0851063829787234,0.0546010444472943,0.0245828607555515,0.0081430189389114,0.0,0.0,284,94
0,test,8,0.8492063492063492,0.7380952380952381,0.7619047619047619,0.75,32,10,11,31,0.4830282898176284,0.4826881218524206,0.0015960069036477,0.0052013742027892,0.0103196968280133,0.0028150086013955,0.6387216533933368,0.3199878025888687,0.318733850804468,0.4160697101615369,0.4558427026938824,0.3762967176291914,0.0096060017101644,0.0390108817031699,0.0136903345119208,0.005521668908408,0.0714285714285714,0.1428571428571428,0.0514564192571649,0.0218512741907034,0.0065135837066918,0.0,0.0,266,84
42,val,1,0.8768673607967407,0.851063829787234,0.8085106382978723,0.8297872340425532,38,9,7,40,0.4521832233294844,0.4520861469209194,0.0004291739802511,0.0033856589385929,0.0,0.0028936519956914,0.7250205630317648,0.3227334723589902,0.4022870906727745,0.3463673518296886,0.345541506609384,0.3471931970499931,-0.0157764166984595,0.0125710813238264,-0.0157800155696137,-0.0157728178273054,0.0,0.0,0.0310906647937372,0.0113015948685214,0.0037081310973527,0.0,0.0,272,94
42,test,1,0.844671201814059,0.8095238095238095,0.7142857142857143,0.7619047619047619,30,12,8,34,0.4955092455659594,0.4954413289115542,0.0002549714649614,0.0021071514735619,0.0,0.0025517252118637,0.7407237759658268,0.3525366714623357,0.3881871045034911,0.2804088840327625,0.2784206734171935,0.2823970946483314,-0.0126733472795985,0.009772132553946,-0.012625151036662,-0.012721543522535,0.0,0.0,0.027395087516024,0.0104256482445634,0.0031408001681405,0.0,0.0,274,84
3407,val,1,0.8628338614757809,0.7872340425531915,0.7872340425531915,0.7872340425531915,37,10,10,37,0.4801136534661054,0.4801066846897204,3.543746800952855e-05,4.870727813492218e-05,0.0,0.0005968229832736,0.6435664253348999,0.3061492213226379,0.337417204012262,0.4101776111217097,0.4623858985550543,0.357969323688365,-0.0002290418659035,0.0060155935289578,-0.0014385292130061,0.0009804454811989,0.0,0.0,0.0055576102429768,0.0037670835803223,0.0012652995319513,0.0,0.0,303,94
3407,test,1,0.8412698412698413,0.7857142857142857,0.7142857142857143,0.75,30,12,9,33,0.4929501719418026,0.4929344533454804,5.709546359780472e-05,0.0003740296122573,0.0,0.0008186889421527,0.6697740384510585,0.3452444519138052,0.3245295865372533,0.3711351471110469,0.3823575874169667,0.359912706805127,-0.001327081788553,0.0074833813082746,-0.003256772225584,0.000602608648478,0.0,0.0,0.0085059616906585,0.0041790121424437,0.0017832334211561,0.0,0.0,280,84
