seed,mean_positive_delta_c23,fraction_positive_delta_below_minus_0_05,c17_tp_to_fn,c17_fn_to_tp,mean_negative_delta_c23,fraction_negative_delta_above_plus_0_05,c17_tn_to_fp,c17_fp_to_tn
0,0.024057666863688803,0.06382978723404255,0,0,0.0014960878346600987,0.0851063829787234,0,0
42,-0.01578001556961367,0.0,1,0,-0.01577281782730537,0.0,0,0
3407,-0.0014385292130061737,0.0,0,0,0.000980445481198957,0.0,0,0
