split,confusion_type,error_type,n,mean_pred_prob,mean_abs_error,mean_report_length,mean_selected_n_visits
val,FN,morphology_positive_false_negative,18,0.3613646899660428,0.6386353100339571,826.6666666666666,3.1666666666666665
val,FN,borderline_error,2,0.4726862162351608,0.5273137837648392,185.0,1.5
val,FP,borderline_error,3,0.5374461809794108,0.5374461809794108,180.33333333333334,1.6666666666666667
val,FP,long_report_or_multivisit_uncertainty,3,0.5670483708381653,0.5670483708381653,1362.6666666666667,4.0
val,FP,other_error,3,0.6891323328018188,0.6891323328018188,215.0,1.3333333333333333
val,FP,morphology_low_confidence_false_positive,1,0.7055191397666931,0.7055191397666931,829.0,4.0
