route,AUC,AUPRC,Sensitivity,Specificity,pos_neg_gap,positive_prob_mean,auc_delta_vs_c13_seed0,inversion_count,c13_inversion_count,health_status,pilot_gate_pass,reasons
core,0.8764146672702582,0.8337014838323655,0.2978723404255319,0.9574468085106383,0.2253515064082247,0.4338806781997072,0.010864644670258161,273,297,PASS,False,AUPRC decrease exceeds 0.005; sensitivity below 0.55; positive-negative gap materially decreased; positive probabilities globally suppressed
rank,0.8759619737437755,0.8266092852508052,0.2978723404255319,0.9574468085106383,0.2251248349376181,0.4333018181805915,0.010411951143775466,274,297,PASS,False,AUPRC decrease exceeds 0.005; sensitivity below 0.55; positive-negative gap materially decreased; positive probabilities globally suppressed
