route,seed,checkpoint_path,checkpoint_sha256,best_epoch_metrics_csv,best_epoch_checkpoint,val_auc,val_auprc,val_sensitivity,val_specificity,val_positive_negative_gap,test_auc_reporting_only,test_auprc_reporting_only,val_prediction_rows,test_prediction_rows_reporting_only,checkpoint_seed,checkpoint_best_epoch,checkpoint_manifest,checkpoint_output_dir,checkpoint_primary_metric,state_dict_keys,load_status
C13_TEMPORAL_FOCUS_DMEA_HT,0,runs/dmea_ht_v2_c13_temporal_focus_stress_seeds/checkpoints/seed_0_best.pt,da041bc1c138cf79c1c80fe92ddf0dd2a64cf88310defaeb499f5af909f372bb,16,16,0.8655500226346763,0.8614940382510322,0.5319148936170213,0.8936170212765957,0.2941540526820624,0.854875283446712,0.8187733853895712,94,84,0,16,/data/csb/DMEA-HT/HT_2025.12_25/manifest_distmatch_structmatch_evidence_v2_c13_temporal_focus.jsonl,runs/dmea_ht_v2_c13_temporal_focus_stress_seeds,val_AUC,65,loaded
C13_TEMPORAL_FOCUS_DMEA_HT,42,runs/dmea_ht_v2_c13_temporal_focus_stress_seeds/checkpoints/seed_42_best.pt,ebf66ac5a5b59e4552b2680c00d2c5fa0325a3793e283d84a02685957d678c63,17,17,0.8746038931643277,0.8578789281513747,0.8297872340425532,0.8085106382978723,0.4039658159017563,0.8418367346938775,0.8089550415186375,94,84,42,17,/data/csb/DMEA-HT/HT_2025.12_25/manifest_distmatch_structmatch_evidence_v2_c13_temporal_focus.jsonl,runs/dmea_ht_v2_c13_temporal_focus_stress_seeds,val_AUC,65,loaded
C13_TEMPORAL_FOCUS_DMEA_HT,3407,runs/dmea_ht_v2_c13_temporal_focus_stress_seeds/checkpoints/seed_3407_best.pt,8b1142117d17acb45ed83b221249f71702df2c12fe46e824779dbfa5e16d631c,15,15,0.8592123132639203,0.8517620303864883,0.5957446808510638,0.851063829787234,0.3356938139000471,0.8412698412698412,0.8234527632726145,94,84,3407,15,/data/csb/DMEA-HT/HT_2025.12_25/manifest_distmatch_structmatch_evidence_v2_c13_temporal_focus.jsonl,runs/dmea_ht_v2_c13_temporal_focus_stress_seeds,val_AUC,65,loaded
