model_id,split,seed,n_rows,spearman_selected_n_visits,spearman_used_images,spearman_image_padding_count,spearman_has_bio,spearman_bio_missing_count,spearman_report_length,max_abs_spearman,linear_r2_prob_from_shortcuts,shortcut_only_label_auc_audit_only,selection_role
c13_temporal_focus_stress,val,pooled,282,0.030214938684707,0.030214938684707,-0.0312848934837623,,-0.1548552043965999,-0.0484268455564258,0.1548552043965999,0.0600662470693158,0.4762084402193048,selection_safety
c13_temporal_focus_stress,test,pooled,252,-0.0836568282374239,-0.0836568282374239,-0.0834267773880839,,0.0110920550619104,-0.1745086883635883,0.1745086883635883,0.0587189073524456,0.3982741244646006,reporting_only
