seed,split,best_epoch,AUC,AUPRC,ACC,F1,Sensitivity,Specificity,Precision,Recall,Balanced_ACC,TN,FP,FN,TP,loss,cls_loss,positive_prob_mean,negative_prob_mean,pos_neg_gap,pred_prob_mean,pred_prob_std,text_morphology_loss,valid_text_morphology_count,mean_text_morphology_confidence,text_morphology_auc,text_morphology_acc,image_morphology_loss,valid_image_morphology_count,mean_image_morphology_confidence,image_morphology_auc,image_morphology_acc
1,val,14,0.777274784970575,0.8057442818841896,0.6702127659574468,0.6436781609195402,0.5957446808510638,0.7446808510638298,0.7,0.5957446808510638,0.6702127659574468,35,12,19,28,0.5912248305976391,0.5912248305976391,0.5341443996480171,0.36273086245389696,0.1714135371941201,0.448437631050957,0.1809645523624353,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1,test,14,0.7505668934240363,0.7013521236667436,0.7380952380952381,0.7380952380952381,0.7380952380952381,0.7380952380952381,0.7380952380952381,0.7380952380952381,0.7380952380952381,31,11,11,31,0.5926630880151477,0.5926630880151477,0.5391573256679943,0.38248791377104463,0.15666941189694972,0.4608226197195195,0.17504461849334954,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3,val,14,0.7691263014938886,0.7556616523508831,0.6808510638297872,0.7169811320754716,0.8085106382978723,0.5531914893617021,0.6440677966101694,0.8085106382978723,0.6808510638297872,26,21,9,38,0.5825586381057898,0.5825586381057898,0.6545192130068516,0.46910217087319556,0.185417042133656,0.5618106919400235,0.1964683487073854,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
3,test,14,0.7760770975056689,0.729594238577339,0.6904761904761905,0.7346938775510204,0.8571428571428571,0.5238095238095238,0.6428571428571429,0.8571428571428571,0.6904761904761905,22,20,6,36,0.5826423750037238,0.5826423750037238,0.6722255739427748,0.47979030367873965,0.19243527026403517,0.5760079388107572,0.196334997932749,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
42,val,7,0.7428700769578994,0.7766653705591058,0.5319148936170213,0.6716417910447762,0.9574468085106383,0.10638297872340426,0.5172413793103449,0.9574468085106383,0.5319148936170213,5,42,2,45,0.7733691483736038,0.7733691483736038,0.8072828282701209,0.7040194051062807,0.10326342316384018,0.7556511166882007,0.1413268420321253,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
42,test,7,0.7261904761904762,0.6578253975637094,0.5357142857142857,0.6776859504132231,0.9761904761904762,0.09523809523809523,0.5189873417721519,0.9761904761904762,0.5357142857142857,4,38,1,41,0.8156927611146655,0.8156927611146655,0.8239423455226988,0.7243884113572893,0.09955393416540959,0.7741653784399941,0.1323169661019701,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
