split,n,n_positive,n_negative,auc_if_defined,auprc_if_defined,accuracy_at_0p5,sensitivity_at_0p5,specificity_at_0p5,f1_at_0p5,mean_pred_prob,mean_pred_prob_positive,mean_pred_prob_negative,positive_negative_gap,false_negative_count,false_positive_count,warning
val,282,141,141,0.7443287560987877,0.7191645489045122,0.6595744680851063,0.8865248226950354,0.4326241134751773,0.722543352601156,0.6193961806014074,0.7092385187428049,0.52955384246001,0.17968467628279483,16,80,
test_reporting_only,252,126,126,0.7615898211136307,0.729923513777203,0.6666666666666666,0.9047619047619048,0.42857142857142855,0.7307692307692307,0.6248319580973614,0.7233666440560704,0.5262972721386523,0.19706937191741813,12,72,
