seed,combination,selected_structure_shortcut_only_label_AUC,max_abs_prediction_selected_structure_spearman,shortcut_safety_pass,shortcut_fields_used_as_factorial_inputs,prediction_spearman_selected_n_visits,prediction_spearman_used_images,prediction_spearman_image_padding_count,prediction_spearman_has_bio,prediction_spearman_bio_missing_count,prediction_spearman_report_length,prediction_spearman_reconstructable_visit_count,prediction_spearman_visit_report_coverage,prediction_spearman_dated_bio_visit_count,raw_n_visits_orientation_invariant_label_AUC_warning,raw_n_images_orientation_invariant_label_AUC_warning
0,000,0.28338614757808966,0.13841685469410417,True,False,-0.08593440828992707,-0.08593440828992707,-0.008584988471821275,0.0,-0.04330461172336969,-0.13841685469410417,-0.08593440828992707,0.0,-0.08593440828992707,0.9769126301493889,0.9418288818469895
0,100,0.28338614757808966,0.13861915513942386,True,False,-0.08555941087200977,-0.08555941087200977,-0.008271094926233659,0.0,-0.04330461172336969,-0.13861915513942386,-0.08555941087200977,0.0,-0.08555941087200977,0.9769126301493889,0.9418288818469895
0,010,0.28338614757808966,0.13586642407989502,True,False,-0.08353442481525637,-0.08353442481525637,-0.002872125942126679,0.0,-0.04490848623164264,-0.13586642407989502,-0.08353442481525637,0.0,-0.08353442481525637,0.9769126301493889,0.9418288818469895
0,001,0.28338614757808966,0.1366250507498439,True,False,-0.08300942843017216,-0.08300942843017216,-0.0021972548191133063,0.0,-0.04330461172336969,-0.1366250507498439,-0.08300942843017216,0.0,-0.08300942843017216,0.9769126301493889,0.9418288818469895
0,110,0.28338614757808966,0.13786775348537922,True,False,-0.08468941686244166,-0.08468941686244166,-0.0030290727149204864,0.0,-0.04330461172336969,-0.13786775348537922,-0.08468941686244166,0.0,-0.08468941686244166,0.9769126301493889,0.9418288818469895
0,101,0.28338614757808966,0.13769435310367661,True,False,-0.08353442481525637,-0.08353442481525637,-0.0026367057829359674,0.0,-0.041700737215096734,-0.13769435310367661,-0.08353442481525637,0.0,-0.08353442481525637,0.9769126301493889,0.9418288818469895
0,011,0.28338614757808966,0.13830125443963576,True,False,-0.08470441675915834,-0.08470441675915834,-0.004849655279328654,0.0,-0.04330461172336969,-0.13830125443963576,-0.08470441675915834,0.0,-0.08470441675915834,0.9769126301493889,0.9418288818469895
0,111,0.28338614757808966,0.13728975221303721,True,False,-0.08309942781047232,-0.08309942781047232,-0.0046927085065348465,0.0,-0.04330461172336969,-0.13728975221303721,-0.08309942781047232,0.0,-0.08309942781047232,0.9769126301493889,0.9418288818469895
42,000,0.28338614757808966,0.19155684667004821,True,False,-0.12238415731148802,-0.12238415731148802,-0.08272664393961598,0.0,-0.11066734107083365,-0.19155684667004821,-0.12238415731148802,0.0,-0.12238415731148802,0.9769126301493889,0.9418288818469895
42,100,0.28338614757808966,0.19304519994632888,True,False,-0.1238841469831572,-0.1238841469831572,-0.08244413974858712,0.0,-0.11066734107083365,-0.19304519994632888,-0.1238841469831572,0.0,-0.1238841469831572,0.9769126301493889,0.9418288818469895
42,010,0.28338614757808966,0.19445407804766254,True,False,-0.12494913965004233,-0.12494913965004233,-0.084170554249319,0.0,-0.11066734107083365,-0.19445407804766254,-0.12494913965004233,0.0,-0.12494913965004233,0.9769126301493889,0.9418288818469895
