combination,AUC_mean,AUC_std,Sensitivity_mean,Specificity_mean,Balanced_ACC_mean,positive_probability_mean,negative_probability_mean,positive_negative_gap_mean,material_positive_damage_total,severe_positive_damage_total,mean_pairwise_inversions,total_pairwise_inversions,AUC_change_vs_000_mean,AUC_change_vs_111_mean,sensitivity_change_vs_111_min,material_damage_change_vs_111_total,inversion_change_vs_111_mean,minor_AUC_seed_count_vs_000,minor_threshold_seed_count_vs_000,minor_ranking_seed_count_vs_000
000,0.8822996831145314,0.01689584210640242,0.7943262411347517,0.8014184397163121,0.797872340425532,0.6895132257688976,0.2606894362598975,0.4288237895090001,42,35,260.0,780,0.0,0.003923343896182281,-0.06382978723404253,2,-8.666666666666666,3,3,3
100,0.8818469895880489,0.01615170916696354,0.7943262411347517,0.8014184397163121,0.797872340425532,0.6896846846063086,0.26106017211069027,0.42862451249561834,42,35,261.0,783,-0.0004526935264826208,0.0034706503696996607,-0.06382978723404253,2,-7.666666666666667,3,3,3
010,0.8813942960615663,0.015785962674660668,0.8014184397163121,0.7872340425531914,0.7943262411347517,0.6935553414390442,0.26547869859289724,0.42807664284614705,41,32,262.0,786,-0.0009053870529651675,0.003017956843217114,-0.042553191489361764,1,-6.666666666666667,2,2,2
001,0.880639806850762,0.01646170281312125,0.8156028368794326,0.7730496453900709,0.7943262411347517,0.6967887205223665,0.26852739728815483,0.4282613232342117,41,31,263.6666666666667,791,-0.0016598762637694369,0.0022634676324128447,0.0,1,-5.0,1,2,1
110,0.8807907046929229,0.016007266994254168,0.8014184397163121,0.7872340425531914,0.7943262411347517,0.6937164050784518,0.26585661533044264,0.427859789748009,41,31,263.3333333333333,790,-0.0015089784216085755,0.002414365474573706,-0.042553191489361764,1,-5.333333333333333,1,2,1
101,0.8804889090086011,0.016565119478073334,0.8156028368794326,0.7730496453900709,0.7943262411347517,0.6969460838652672,0.26891191738347214,0.42803416648179504,41,31,264.0,792,-0.001810774105930298,0.0021125697902519835,0.0,1,-4.666666666666667,1,2,1
011,0.8786781349026708,0.01668837355470053,0.8156028368794326,0.7730496453900709,0.7943262411347517,0.7006851205377714,0.27341710436256955,0.4272680161752018,40,31,268.0,804,-0.003621548211860596,0.0003017956843216855,0.0,0,-0.6666666666666666,0,2,0
111,0.8783763392183492,0.016598076724239606,0.8156028368794326,0.7730496453900709,0.7943262411347517,0.7008321082866784,0.273808175446928,0.42702393283975043,40,31,268.6666666666667,806,-0.003923343896182281,0.0,0.0,0,0.0,0,2,0
