seed,target,n_objects,main_R1_mean,main_R1_negative_fraction,main_R4_mean,main_R4_negative_fraction,main_R5_mean,main_R5_negative_fraction,interaction_R1_R4_mean,interaction_R1_R4_negative_fraction,interaction_R1_R5_mean,interaction_R1_R5_negative_fraction,interaction_R4_R5_mean,interaction_R4_R5_negative_fraction,interaction_R1_R4_R5_mean,interaction_R1_R4_R5_negative_fraction,shapley_R1_mean,shapley_R4_mean,shapley_R5_mean,max_abs_shapley_completeness_error,max_abs_factorial_completeness_error,interaction_R1_R4_aggregate_negative_share,interaction_R1_R5_aggregate_negative_share,interaction_R4_R5_aggregate_negative_share,interaction_R1_R4_R5_aggregate_negative_share,all_interactions_aggregate_negative_share
0,patient_logit_all,94,-0.00021075699082077033,0.8191489361702128,0.004387931224513558,0.4148936170212766,0.018630786224248536,0.32978723404255317,-1.7131975990694267e-06,0.6382978723404256,1.6982845486475703e-05,0.4574468085106383,-0.00019170859075605363,0.6914893617021277,-1.0631344419844608e-06,0.48936170212765956,-0.000203476545024393,0.004290865952188653,0.018543068973466425,2.775557561562892e-17,0.0,,,,,
0,patient_probability_all,94,-0.00020651293898671721,0.8191489361702128,0.0005303542129695429,0.4148936170212766,0.0024322136652041412,0.32978723404255317,-2.5050149873849506e-06,0.6382978723404256,9.937905409124716e-08,0.5638297872340425,-5.977095025491118e-05,0.6276595744680851,4.137598691468543e-07,0.4574468085106383,-0.00020757783699698864,0.0004993541503047601,0.002402515799560108,3.469446951953614e-18,0.0,,,,,
0,pair_margin_all,2209,-0.0033177428264567154,0.5409687641466727,-0.02368483311952426,0.7523766410140335,-0.03247875117875159,0.7116342236306021,-6.936419200388818e-05,0.7197827071072883,-9.036626904567792e-05,0.6337709370755998,-0.0005504144950115718,0.7224988682661838,1.71807218105235e-06,0.5559076505205975,-0.0033970353662544912,-0.023994149772304987,-0.0327985688700532,5.551115123125783e-17,0.0,,,,,
0,c30_introduced_pair_margin,14,-0.006559127143451114,0.8571428571428571,-0.061622881463595756,1.0,-0.08152410175119125,0.9285714285714286,-1.612092767443135e-05,0.5714285714285714,-8.98540019988958e-06,0.5714285714285714,2.1842973572857175e-05,0.35714285714285715,6.814088140215192e-06,0.2857142857142857,-0.006569408944674879,-0.061617749077933125,-0.08151540160179134,2.775557561562892e-17,0.0,0.0002490016099970531,0.00031139945489209965,0.002974659189399932,1.481969951271133e-06,0.003536542224240355
42,patient_logit_all,94,0.0031747178352893365,0.18085106382978725,0.06408650453816699,0.0,0.08860606541658966,0.0,-2.73360216871224e-05,0.7659574468085106,-1.4004079585381388e-05,0.723404255319149,0.0007920083589851537,0.1595744680851064,-1.844890574191479e-06,0.6914893617021277,0.003153432821128352,0.06446822574329127,0.08899445259276484,1.1102230246251563e-16,0.0,,,,,
42,patient_probability_all,94,0.0004359356058325245,0.18085106382978725,0.009801250867585185,0.0,0.014044106581268118,0.0,-2.5861490359324175e-06,0.5425531914893617,-4.690299008753952e-07,0.5319148936170213,-1.6769453724789781e-06,0.43617021276595747,-1.2662568862758786e-06,0.425531914893617,0.000433985930735367,0.009798697234752225,0.014042611508002673,1.3877787807814457e-17,0.0,,,,,
42,pair_margin_all,2209,-0.0025464802029284824,0.7039384336803983,-0.002098430185875993,0.5011317338162065,0.004585588549045803,0.46944318696242643,-7.924437522886999e-05,0.6727025803531009,-0.0001087188720702953,0.7048438207333635,-0.0010994401502799208,0.7741059302851969,5.21540641784668e-07,0.4875509280217293,-0.002640287979697484,-0.0026875986017498134,0.003981682884751268,1.1102230246251563e-16,0.0,,,,,
42,c30_introduced_pair_margin,17,-0.007892071324236217,0.8823529411764706,-0.07140301781542156,1.0,-0.07882408973048713,0.8823529411764706,-1.768855487602907e-06,0.29411764705882354,-1.0793699937709015e-05,0.35294117647058826,-0.00036120233947738547,0.6470588235294118,2.354339641683242e-05,0.058823529411764705,-0.007890504803143258,-0.07157665561409846,-0.07900223995138907,2.775557561562892e-17,0.0,0.0003683114786091775,0.0002993575021254514,0.008027631543210192,2.3424057048688705e-07,0.008695534764515308
3407,patient_logit_all,94,0.003944669711462958,0.1276595744680851,0.020219296732164414,0.20212765957446807,0.04140134655097694,0.0851063829787234,-1.0785706182741013e-05,0.5957446808510638,-2.4836034850866334e-05,0.6595744680851063,-9.720182006662536e-05,0.648936170212766,-9.193144580151173e-07,0.5319148936170213,0.003926552402793481,0.020164996530887058,0.04134002118536552,2.775557561562892e-17,0.0,,,,,
3407,patient_probability_all,94,0.0005838693654600309,0.1276595744680851,0.002915461924164821,0.20212765957446807,0.0061938634261171415,0.0851063829787234,2.69697146846893e-07,0.5319148936170213,-9.722413217711643e-08,0.5638297872340425,-6.4584743627911364e-06,0.5531914893617021,-6.294353528225675e-08,0.2765957446808511,0.000583934620788935,0.0029123465543784252,0.006190564595691238,6.938893903907228e-18,0.0,,,,,
3407,pair_margin_all,2209,-0.0023255654154939647,0.7111815301041196,-0.012769769877195343,0.6763241285649615,-0.015660176093273963,0.6464463558171119,-4.150171546225256e-05,0.7849705749207786,-7.670499542924361e-05,0.7922136713444998,-0.0004461167499105679,0.8143956541421458,1.1183004429999818e-06,0.33046627433227704,-0.002384296004125389,-0.013013206343067435,-0.01592121419912956,2.775557561562892e-17,0.0,,,,,
3407,c30_introduced_pair_margin,8,-0.0048037618398666,1.0,-0.04165675491094585,1.0,-0.0491492077708244,1.0,4.942715167999253e-05,0.125,5.391240119933213e-05,0.0,0.00013758987188337138,0.25,2.5331974029541016e-06,0.0,-0.004751247664292587,-0.041562402000029836,-0.04905261223514869,1.3877787807814457e-17,0.0,7.984476757720564e-05,0.0,0.0013517866266654379,0.0,0.0014316313942426436
