split,error_type,n_errors,proportion_of_errors,false_negative_count,false_positive_count,mean_pred_prob,mean_abs_error
test_reporting_only,morphology_positive_false_negative,28,0.45901639344262296,28,0,0.32169625642044203,0.6783037435795579
test_reporting_only,long_report_or_multivisit_uncertainty,13,0.21311475409836064,2,11,0.5490238998944943,0.6295402084405606
test_reporting_only,high_confidence_false_positive,8,0.13114754098360656,0,8,0.8505251854658127,0.8505251854658127
test_reporting_only,other_error,7,0.11475409836065574,3,4,0.5125538600342614,0.7120765298604965
test_reporting_only,morphology_low_confidence_false_positive,3,0.04918032786885246,0,3,0.7674597899119059,0.7674597899119059
test_reporting_only,borderline_error,1,0.01639344262295082,1,0,0.4947923123836517,0.5052076876163483
test_reporting_only,high_confidence_false_negative,1,0.01639344262295082,1,0,0.1955955475568771,0.8044044524431229
val,morphology_positive_false_negative,44,0.6285714285714286,44,0,0.35044711036607623,0.6495528896339238
val,long_report_or_multivisit_uncertainty,7,0.1,0,7,0.5992575287818909,0.5992575287818909
val,other_error,7,0.1,3,4,0.5227557527167457,0.7347326172249657
val,borderline_error,6,0.08571428571428572,2,4,0.4946831862131755,0.5418371160825094
val,high_confidence_false_positive,4,0.05714285714285714,0,4,0.8562546223402023,0.8562546223402023
val,morphology_low_confidence_false_positive,2,0.02857142857142857,0,2,0.6124064326286316,0.6124064326286316
