seed,positive_patient_id,negative_patient_id,final_logit_margin,margin_without_image,margin_without_text,margin_without_bio,text_only_like_margin,image_only_like_margin,margin_without_diffuse,margin_without_negative,image_opposed_flag,image_repair_flag,text_driven_flag,fusion_interaction_flag
3407,10151887,10043013,-2.15445739030838,-2.8326048851013184,0.6112434715032578,-3.7463040351867676,-4.9404802322387695,0.9145602285861969,0.4137004613876343,-2.220823645591736,0,0,1,0
3407,10151887,10068457,-0.04362630844116211,-0.5970727801322937,0.26417286694049835,-0.7441790103912354,-1.44736909866333,0.14554083347320557,-0.15362036228179932,1.4893336296081543,0,0,1,0
3407,10151887,10106168,-1.3199854344129562,-1.4653143882751465,-0.29707519710063934,-1.1562137007713318,-1.2608389258384705,0.256141722202301,0.6248018741607666,-1.3124922066926956,0,0,1,0
3407,10151887,10027380,-1.2255702018737793,-1.5353972911834717,0.5094314068555832,-1.8483358472585678,-2.378277510404587,0.8829489648342133,0.29155170917510986,-1.4357809871435165,0,0,1,0
3407,10151887,10020343,-1.1501537412405014,-1.9911354184150696,0.8465908616781235,-2.0443902611732483,-3.0560216903686523,1.2813981175422668,-1.2079600244760513,-0.754345178604126,0,0,1,0
3407,10151887,10065841,-0.24171382188796997,-0.46455466747283936,0.457611545920372,-0.45520591735839844,-0.6265274286270142,0.7996319532394409,-0.28581637144088745,0.6692399978637695,0,0,1,0
3407,10151887,10038703,-0.08777725696563721,-0.5823052525520325,0.6506891399621964,-0.20621097087860107,-0.6165151596069336,0.9006524980068207,-0.18403160572052002,1.5443494319915771,0,0,1,0
3407,10151887,10023011,-0.8881597518920898,-1.452792465686798,0.5679489225149155,-1.6711843013763428,-2.528830349445343,0.8362696170806885,-0.9622212052345276,1.353524923324585,0,0,1,0
3407,10151887,10025710,-0.44393980503082275,-1.358640044927597,1.0145515650510788,-1.0207160711288452,-2.216117411851883,1.439863681793213,-0.5279231667518616,1.6728558540344238,0,0,1,0
3407,10151887,10084278,-1.365044742822647,-2.14647114276886,0.5820843428373337,-2.1908135414123535,-3.469310164451599,0.980366051197052,0.5515003204345703,0.6436067819595337,0,0,1,0
3407,10151887,10032546,-0.6397209167480469,-1.1120867133140564,0.47189994156360626,-1.1088542938232422,-1.646013081073761,0.5970972627401352,-0.7277016043663025,0.8303704261779785,0,0,1,0
3407,10151887,10005075,-1.1403053551912308,-2.584133505821228,1.1930062621831894,-1.8351619243621826,-4.425987005233765,1.9120442271232605,1.3168236017227173,1.366309642791748,0,0,1,0
3407,10151887,10137578,-1.1998283714056015,-1.29143887758255,0.09988969564437866,-1.8497769981622696,-1.8818222284317017,0.060349106788635254,0.07437646389007568,-1.6381370425224304,0,0,1,0
3407,10151887,10083858,-0.701903223991394,-1.5836455971002579,1.0955794304609299,-1.37258979678154,-2.503313958644867,1.559029757976532,1.6713858842849731,1.0079138278961182,0,0,1,0
3407,10108395,10009149,-0.8484866619110107,-0.8619510531425476,0.007957220077514648,-1.0498535633087158,-1.1309471130371094,0.013708055019378662,0.014625787734985352,-0.8509858846664429,0,0,1,0
3407,10108395,10043013,-0.14975255727767944,-0.7887923121452332,0.48961241543293,-0.5430223941802979,-1.7563867568969727,0.9673235714435577,-0.8723042011260986,-0.2220306396484375,0,0,1,0
3407,10024132,10001110,-1.6614035367965698,-1.5373170971870422,-0.057075291872024536,-2.457539677619934,-2.3409711122512817,-0.2171531617641449,0.1291966438293457,-3.4264363646507263,0,0,1,0
3407,10024132,10009149,-2.5755293369293213,-2.2183223962783813,-0.2081659436225891,-3.618561267852783,-3.293310046195984,-0.307413786649704,-0.09774184226989746,-4.34025764465332,0,0,1,0
3407,10024132,10043013,-1.87679523229599,-2.145163655281067,0.27348925173282623,-3.1117300987243652,-3.918749690055847,0.6462017297744751,-0.9846718311309814,-3.711302399635315,0,0,1,0
3407,10024132,10106168,-1.042323276400566,-0.777873158454895,-0.6348294168710709,-0.5216397643089294,-0.2391083836555481,-0.012216776609420776,-0.7735704183578491,-2.8029709607362747,0,0,1,0
3407,10024132,10027380,-0.9479080438613892,-0.8479560613632202,0.17167718708515167,-1.2137619107961655,-1.3565469682216644,0.6145904660224915,-1.1068205833435059,-2.9262597411870956,0,0,1,0
3407,10024132,10020343,-0.8724915832281113,-1.3036941885948181,0.508836641907692,-1.409816324710846,-2.03429114818573,1.013039618730545,-2.606332316994667,-2.244823932647705,0,0,1,0
3407,10024132,10023011,-0.6104975938796997,-0.7653512358665466,0.23019470274448395,-1.0366103649139404,-1.5070998072624207,0.5679111182689667,-2.3605934977531433,-0.13695383071899414,0,0,0,1
3407,10024132,10025710,-0.16627764701843262,-0.6711988151073456,0.6767973452806473,-0.38614213466644287,-1.1943868696689606,1.171505182981491,-1.9262954592704773,0.18237709999084473,0,0,1,0
3407,10024132,10084278,-1.087382584810257,-1.4590299129486084,0.24433012306690216,-1.5562396049499512,-2.4475796222686768,0.7120075523853302,-0.8468719720840454,-0.8468719720840454,0,0,1,0
3407,10024132,10032546,-0.36205875873565674,-0.42464548349380493,0.13414572179317474,-0.47428035736083984,-0.6242825388908386,0.3287387639284134,-2.126073896884918,-0.6601083278656006,0,0,1,0
3407,10024132,10005075,-0.8626431971788406,-1.8966922760009766,0.8552520424127579,-1.2005879878997803,-3.4042564630508423,1.6436857283115387,-0.08154869079589844,-0.12416911125183105,0,0,1,0
3407,10024132,10137578,-0.9221662133932114,-0.6039976477622986,-0.23786452412605286,-1.2152030616998672,-0.8600916862487793,-0.20800939202308655,-1.32399582862854,-3.1286157965660095,0,0,1,0
3407,10024132,10083858,-0.4242410659790039,-0.8962043672800064,0.7578252106904984,-0.7380158603191376,-1.4815834164619446,1.2906712591648102,0.2730135917663574,-0.48256492614746094,0,0,1,0
3407,10124993,10001110,-0.3304179310798645,-0.24527961015701294,0.2539265602827072,-0.7226031422615051,-0.4880146384239197,0.21062308549880981,0.2877621650695801,-0.3154207468032837,0,0,0,1
3407,10124993,10009149,-1.244543731212616,-0.926284909248352,0.10283590853214264,-1.8836247324943542,-1.4403535723686218,0.12036246061325073,0.060823678970336914,-1.2292420268058777,0,0,0,1
3407,10124993,10043013,-0.5458096265792847,-0.8531261682510376,0.584491103887558,-1.3767935633659363,-2.065793216228485,1.0739779770374298,-0.8261063098907471,-0.6002867817878723,0,0,0,1
