seed,checkpoint_path,saved_prediction_rows,reproduced_prediction_rows,patient_id_match,label_match,max_abs_probability_difference,mean_abs_probability_difference,reproduction_pass,notes
0,runs/dmea_ht_v2_c13_temporal_focus_stress_seeds/checkpoints/seed_0_best.pt,94,94,1,1,1.1102230246251565e-16,2.3400312420623313e-17,1,eval + no_grad; character tokenizer; C13 checkpoint
42,runs/dmea_ht_v2_c13_temporal_focus_stress_seeds/checkpoints/seed_42_best.pt,94,94,1,1,1.1102230246251565e-16,2.2588314197825658e-17,1,eval + no_grad; character tokenizer; C13 checkpoint
3407,runs/dmea_ht_v2_c13_temporal_focus_stress_seeds/checkpoints/seed_3407_best.pt,94,94,1,1,1.1102230246251565e-16,2.048450062057719e-17,1,eval + no_grad; character tokenizer; C13 checkpoint
