base_logit,direction,confidence_gate,confidence_bound,boundary_bound,safe_local_bound,delta,final_logit,decision_side_preserved
-3.0,-1.0,0.049787066876888275,0.007468060124665499,2.9999001026153564,0.007468060124665499,-0.007468060124665499,-3.0074679851531982,True
-0.20000000298023224,-1.0,0.8187307715415955,0.12280961871147156,0.19990000128746033,0.12280961871147156,-0.12280961871147156,-0.322809636592865,True
-0.009999999776482582,-1.0,0.9900498390197754,0.1485074758529663,0.00989999994635582,0.00989999994635582,-0.00989999994635582,-0.019899999722838402,True
-0.00010099999781232327,-1.0,0.9998990297317505,0.14998486638069153,1.0000003385357559e-06,1.0000003385357559e-06,-1.0000003385357559e-06,-0.00010199999815085903,True
-9.999999747378752e-05,-1.0,0.9998999834060669,0.14998500049114227,0.0,0.0,-0.0,-9.999999747378752e-05,True
0.0,-1.0,1.0,0.15000000596046448,0.0,0.0,-0.0,0.0,True
9.999999747378752e-05,-1.0,0.9998999834060669,0.14998500049114227,0.0,0.0,-0.0,9.999999747378752e-05,True
0.00010099999781232327,-1.0,0.9998990297317505,0.14998486638069153,1.0000003385357559e-06,1.0000003385357559e-06,-1.0000003385357559e-06,9.999999747378752e-05,True
0.009999999776482582,-1.0,0.9900498390197754,0.1485074758529663,0.00989999994635582,0.00989999994635582,-0.00989999994635582,9.999983012676239e-05,True
0.20000000298023224,-1.0,0.8187307715415955,0.12280961871147156,0.19990000128746033,0.12280961871147156,-0.12280961871147156,0.07719038426876068,True
3.0,-1.0,0.049787066876888275,0.007468060124665499,2.9999001026153564,0.007468060124665499,-0.007468060124665499,2.9925320148468018,True
-3.0,1.0,0.049787066876888275,0.007468060124665499,2.9999001026153564,0.007468060124665499,0.007468060124665499,-2.9925320148468018,True
-0.20000000298023224,1.0,0.8187307715415955,0.12280961871147156,0.19990000128746033,0.12280961871147156,0.12280961871147156,-0.07719038426876068,True
-0.009999999776482582,1.0,0.9900498390197754,0.1485074758529663,0.00989999994635582,0.00989999994635582,0.00989999994635582,-9.999983012676239e-05,True
-0.00010099999781232327,1.0,0.9998990297317505,0.14998486638069153,1.0000003385357559e-06,1.0000003385357559e-06,1.0000003385357559e-06,-9.999999747378752e-05,True
-9.999999747378752e-05,1.0,0.9998999834060669,0.14998500049114227,0.0,0.0,0.0,-9.999999747378752e-05,True
0.0,1.0,1.0,0.15000000596046448,0.0,0.0,0.0,0.0,True
9.999999747378752e-05,1.0,0.9998999834060669,0.14998500049114227,0.0,0.0,0.0,9.999999747378752e-05,True
0.00010099999781232327,1.0,0.9998990297317505,0.14998486638069153,1.0000003385357559e-06,1.0000003385357559e-06,1.0000003385357559e-06,0.00010199999815085903,True
0.009999999776482582,1.0,0.9900498390197754,0.1485074758529663,0.00989999994635582,0.00989999994635582,0.00989999994635582,0.019899999722838402,True
0.20000000298023224,1.0,0.8187307715415955,0.12280961871147156,0.19990000128746033,0.12280961871147156,0.12280961871147156,0.322809636592865,True
3.0,1.0,0.049787066876888275,0.007468060124665499,2.9999001026153564,0.007468060124665499,0.007468060124665499,3.0074679851531982,True
