seed,split,best_epoch,AUC,Sensitivity,Specificity,Balanced_ACC,TN,FP,FN,TP,total_loss,classification_loss,residual_loss,positive_preserve_loss,negative_preserve_loss,high_confidence_preserve_loss,positive_prob_mean,negative_prob_mean,probability_gap,confidence_gate_mean,confidence_gate_positive_mean,confidence_gate_negative_mean,confidence_bound_mean,boundary_bound_mean,safe_local_bound_mean,delta_mean,delta_std,positive_delta_mean,negative_delta_mean,fraction_positive_delta_below_minus_0_05,fraction_negative_delta_above_plus_0_05,mean_abs_delta_low,mean_abs_delta_medium,mean_abs_delta_high,fraction_confidence_limited,fraction_boundary_limited,fraction_zero_bound,fraction_near_negative_bound,fraction_near_positive_bound,decision_side_violation_count,pairwise_inversion_count,n_rows
0,val,1,0.8696242643730195,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.4776127686103185,0.4776065799718101,8.845981544662133e-05,0.0,0.0,0.0006103642481321,0.6159631773195369,0.2798605008407476,0.3361026764787893,0.4081324825083163,0.4695399520680942,0.3467250129485384,0.0612198745750108,1.1704180075767192,0.0553975479833365,0.0072346970654449,0.0058764086039882,0.0095999028039551,0.0048694913269347,0.0,0.0,0.0124505494388618,0.0052503022148316,0.0012036111981918,0.925531914893617,0.0744680851063829,0.0,0.0,0.0,0,288,94
0,test,1,0.8492063492063492,0.7380952380952381,0.7619047619047619,0.75,32,10,11,31,0.482476633929071,0.4824741695608411,6.901969919410822e-05,0.0,0.0,0.0002391464104654,0.6372998381654421,0.319291175010481,0.318008663154961,0.4160697101615369,0.4558427026938824,0.3762967176291914,0.0624104588281451,1.12996102942686,0.0575172371796465,0.0065416336264466,0.0051519620663124,0.0077727864457604,0.0053104808071328,0.0,0.0,0.0109188203791607,0.0049648845408228,0.000482422958984,0.9285714285714286,0.0714285714285714,0.0,0.0,0.0,0,266,84
42,val,1,0.8768673607967407,0.8723404255319149,0.8085106382978723,0.8404255319148937,38,9,6,41,0.4524715367394189,0.4523856978242596,0.0003351517393828,0.0028308193335154,0.0,0.0028888660550971,0.7252901537304229,0.3231110424595944,0.4021791112708285,0.3463673518296886,0.345541506609384,0.3471931970499931,0.0519551048463983,1.4670236958388954,0.0479262237984469,-0.0144757855860974,0.0110891560861252,-0.0146957206235767,-0.0142558505486181,0.0,0.0,0.0273062002524966,0.0112715845872812,0.0037032700373466,0.9574468085106383,0.0425531914893617,0.0,0.0,0.0,0,272,94
42,test,1,0.844671201814059,0.8095238095238095,0.7142857142857143,0.7619047619047619,30,12,8,34,0.4955039364950998,0.4954363430539767,0.0002538224855795,0.0020879082315202,0.0,0.0025571829534047,0.7407304357205119,0.3525399317787516,0.3881905039417602,0.2804088840327625,0.2784206734171935,0.2823970946483314,0.0420613342818493,1.6225042130265916,0.0420613342818493,-0.0126519645106912,0.0097406263578349,-0.0125956214421118,-0.0127083075792706,0.0,0.0,0.0273306034505367,0.0104106270242482,0.0031477071942113,1.0,0.0,0.0,0.0,0.0,0,274,84
3407,val,1,0.8628338614757809,0.7872340425531915,0.7872340425531915,0.7872340425531915,37,10,10,37,0.4800083432346582,0.4800024585177501,2.9374875585593447e-05,0.0,0.0,0.0005854233974484,0.6437200288030696,0.3061888745807586,0.3375311542223109,0.4101776111217097,0.4623858985550543,0.357969323688365,0.061526643768686,1.1643179942199842,0.0578431813665566,0.0002376166936455,0.0054999552849124,-0.0007198072098037,0.0011950405970948,0.0,0.0,0.0051922656741226,0.003637271217916,0.0012224700694787,0.9361702127659576,0.0638297872340425,0.0,0.0,0.0,0,303,94
3407,test,1,0.8412698412698413,0.7857142857142857,0.7142857142857143,0.75,30,12,9,33,0.4929464665197191,0.492933832463764,4.842605694864774e-05,0.0002391239007314,0.0,0.0007809673275222,0.6699010300494376,0.3453277235495902,0.3245733064998473,0.3711351471110469,0.3823575874169667,0.359912706805127,0.0556702744160291,1.2178773514793388,0.0530301079852506,-0.0008092360230875,0.0069531827421979,-0.002607248512764,0.0009887764665888,0.0,0.0,0.0080253422032304,0.0039676290323265,0.0017070201341994,0.9761904761904762,0.0238095238095238,0.0,0.0,0.0,0,280,84
