seed,confidence_group,n,mean_abs_delta,mean_delta,mean_gate
0,low,35,0.012450549438861811,0.012450549438861811,0.705049261876515
0,medium,44,0.005250302214831572,0.005250302214831572,0.2813591327179562
0,high,15,0.0012036111981917864,0.000885266422604493,0.08719515670090912
42,low,32,0.02730620025249659,-0.02730620025249659,0.6844603391364217
42,medium,34,0.011271584587281194,-0.011271584587281194,0.24707803480765395
42,high,28,0.003703270037346632,-0.003703270037346632,0.08054096557732135
3407,low,40,0.0051922656741225605,0.0011468139855423697,0.672777533531189
3407,medium,38,0.003637271217916011,-0.0006076890690325893,0.2685415834972733
3407,high,16,0.0012224700694786826,-2.7775349735767213e-05,0.09006337070604781
