seed,epoch,selected_by_val_auc,train_total_loss,train_classification_loss,train_residual_loss,train_positive_preserve_loss,train_negative_preserve_loss,train_high_confidence_preserve_loss,val_AUC,val_Sensitivity,val_Specificity,val_Balanced_ACC,val_TN,val_FP,val_FN,val_TP,val_total_loss,val_classification_loss,val_residual_loss,val_positive_preserve_loss,val_negative_preserve_loss,val_high_confidence_preserve_loss,val_positive_prob_mean,val_negative_prob_mean,val_probability_gap,val_confidence_gate_mean,val_confidence_gate_positive_mean,val_confidence_gate_negative_mean,val_confidence_bound_mean,val_boundary_bound_mean,val_safe_local_bound_mean,val_delta_mean,val_delta_std,val_positive_delta_mean,val_negative_delta_mean,val_fraction_positive_delta_below_minus_0_05,val_fraction_negative_delta_above_plus_0_05,val_mean_abs_delta_low,val_mean_abs_delta_medium,val_mean_abs_delta_high,val_fraction_confidence_limited,val_fraction_boundary_limited,val_fraction_zero_bound,val_fraction_near_negative_bound,val_fraction_near_positive_bound,val_decision_side_violation_count,val_pairwise_inversion_count,val_n_rows
0,1,True,0.5012886336702385,0.5012862089256577,3.402863679710416e-05,0.0,1.9864078968862036e-05,0.0001994358814641,0.8696242643730195,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.4776127686103185,0.4776065799718101,8.845981544662133e-05,0.0,0.0,0.0006103642481321,0.6159631773195369,0.2798605008407476,0.3361026764787893,0.4081324825083163,0.4695399520680942,0.3467250129485384,0.0612198745750108,1.1704180075767192,0.0553975479833365,0.0072346970654449,0.0058764086039882,0.0095999028039551,0.0048694913269347,0.0,0.0,0.0124505494388618,0.0052503022148316,0.0012036111981918,0.925531914893617,0.0744680851063829,0.0,0.0,0.0,0,288,94
0,2,False,0.499703523240342,0.4996835582501051,0.0001885138813905,0.0,0.0006693965964141,0.000638952223891,0.8696242643730195,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.4755630406240622,0.4754636945823828,0.000872003029599,0.0,0.0039305312942209,0.0019863954924706,0.62042968419004,0.2820909479831127,0.3383387362069272,0.4081324825083163,0.4695399520680942,0.3467250129485384,0.0612198745750108,1.1704180075767192,0.0553975479833365,0.0227491355200324,0.0184897234908447,0.0298786270741789,0.0156196439658858,0.0,0.0638297872340425,0.0390821020917168,0.016674473713713,0.0039344050315169,0.925531914893617,0.0744680851063829,0.0,0.0,0.0,0,288,94
0,3,False,0.5000094048037435,0.4997523190169934,0.0016273379701879,0.0,0.0119676209326266,0.0016104826125542,0.869171570846537,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.4744078085447351,0.4741998010625441,0.0018023545640062,0.0,0.0088724975551789,0.0028760070708813,0.6231524972839558,0.2834254894009296,0.3397270078830262,0.4081324825083163,0.4695399520680942,0.3467250129485384,0.0612198745750108,1.1704180075767192,0.0553975479833365,0.0320837659652325,0.027396079674137,0.0422668162847254,0.0219007156457395,0.0,0.1063829787234042,0.0568698661934052,0.0238402487117458,0.0057518830057233,0.925531914893617,0.0744680851063829,0.0,0.0,0.0,0,289,94
0,4,False,0.4994788836959182,0.499175279641783,0.0020071224865367,0.0,0.0141762514515403,0.0018074808849241,0.8682661837935718,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.4740286848197381,0.4737923958649238,0.0021534551669143,0.000471793115139,0.0098126463126391,0.002845036923342,0.6236410510349781,0.2833888153050174,0.3402522357299607,0.4081324825083163,0.4695399520680942,0.3467250129485384,0.0612198745750108,1.1704180075767192,0.0553975479833365,0.0328290314553553,0.0324229044747356,0.0444166639998079,0.0212413989109026,0.0,0.1276595744680851,0.0626453490029754,0.0246542559537126,0.0057515416527166,0.925531914893617,0.0744680851063829,0.0,0.0,0.0,0,291,94
0,5,False,0.4983568498433031,0.4980624093125198,0.0022887550158998,6.699396797690219e-05,0.0135184927266831,0.0020440895290183,0.8682661837935718,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.473690937894086,0.4735163763786356,0.0018697385550391,0.0010162609784553,0.0063297029215997,0.0025770734306812,0.6221281007883397,0.2814203031915933,0.3407077975967463,0.4081324825083163,0.4695399520680942,0.3467250129485384,0.0612198745750108,1.1704180075767192,0.0553975479833365,0.0239899877577703,0.0356400309426805,0.0372361585899117,0.0107438169256288,0.0425531914893617,0.0851063829787234,0.0566593489543135,0.0219231618737632,0.0053483644189933,0.925531914893617,0.0744680851063829,0.0,0.0,0.0,0,291,94
0,6,False,0.4968425937441011,0.4966097654688437,0.0020240081435829,0.0007388083305092,0.0097566014510388,0.0020897941622325,0.8687188773200544,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.4735054026047389,0.4733145671586196,0.0020999490745149,0.0010585358832031,0.0072308546708275,0.0022943123482643,0.6226062676373948,0.2813977078395955,0.3412085597977993,0.4081324825083163,0.4695399520680942,0.3467250129485384,0.0612198745750108,1.1704180075767192,0.0553975479833365,0.0245950184643276,0.0384543566871669,0.0394078920312978,0.0097821448973573,0.0425531914893617,0.1063829787234042,0.0605789366111691,0.0241738897516783,0.0049967762791008,0.925531914893617,0.0744680851063829,0.0,0.0,0.0,0,290,94
0,7,False,0.4965109134845386,0.4962621311971683,0.0020771770721344,0.0007267237320196,0.0101426986604312,0.0029318820941878,0.8696242643730194,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.4735031851256887,0.4732680938517054,0.0024316399876624,0.0011754275280206,0.0091397209713856,0.0026355976545649,0.6233093183725438,0.2818045409277399,0.3415047774448039,0.4081324825083163,0.4695399520680942,0.3467250129485384,0.0612198745750108,1.1704180075767192,0.0553975479833365,0.0268952897949543,0.0412221809590034,0.04265903872735,0.0111315408625585,0.0425531914893617,0.1489361702127659,0.0655899809573644,0.0268135887110309,0.0055530667004253,0.925531914893617,0.0744680851063829,0.0,0.0,0.0,0,288,94
0,8,False,0.4961448037959882,0.4958323266431196,0.0027439141208891,0.0008850309593812,0.0131420485643725,0.0029192757155763,0.8696242643730195,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.4732531352589528,0.4730762898301084,0.0019294370843757,0.002669145023295,0.0037901907926425,0.0045730940376718,0.6203889773881182,0.2785138580155499,0.3418751193725682,0.4081324825083163,0.4695399520680942,0.3467250129485384,0.0612198745750108,1.1704180075767192,0.0553975479833365,0.0118769021343162,0.0420324013527311,0.0290546787437051,-0.0053008744750726,0.0638297872340425,0.0425531914893617,0.0537187730028693,0.0276925807437774,0.0093307431787252,0.925531914893617,0.0744680851063829,0.0,0.0,0.0,0,288,94
0,9,False,0.4950006893336378,0.4947023158831312,0.0025998699250021,0.0021177057033429,0.0109761969690575,0.0033896728958441,0.8696242643730194,0.7446808510638298,0.7659574468085106,0.7553191489361701,36,11,12,35,0.4734102167810003,0.4731781215717395,0.0023250036983881,0.0025359641682977,0.0066382600343786,0.0046284508231716,0.6218037833558753,0.2798071178667088,0.3419966654891664,0.4081324825083163,0.4695399520680942,0.3467250129485384,0.0612198745750108,1.1704180075767192,0.0553975479833365,0.0180230389957246,0.0444852180618606,0.0356766235311218,0.0003694544603275,0.0425531914893617,0.0851063829787234,0.0610175584575959,0.0301189232916592,0.0093298261829962,0.925531914893617,0.0744680851063829,0.0,0.0,0.0,0,288,94
42,1,True,0.5175645952883935,0.5175601631304286,2.6148035753503847e-05,3.562344620559389e-05,0.0,0.0003694711653563,0.8768673607967407,0.8723404255319149,0.8085106382978723,0.8404255319148937,38,9,6,41,0.4524715367394189,0.4523856978242596,0.0003351517393828,0.0028308193335154,0.0,0.0028888660550971,0.7252901537304229,0.3231110424595944,0.4021791112708285,0.3463673518296886,0.345541506609384,0.3471931970499931,0.0519551048463983,1.4670236958388954,0.0479262237984469,-0.0144757855860974,0.0110891560861252,-0.0146957206235767,-0.0142558505486181,0.0,0.0,0.0273062002524966,0.0112715845872812,0.0037032700373466,0.9574468085106383,0.0425531914893617,0.0,0.0,0.0,0,272,94
