split,AUC_mean,AUC_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Balanced_ACC_mean,Balanced_ACC_std,delta_mean_mean,delta_mean_std,delta_std_mean,delta_std_std
test,0.8450491307634165,0.0039817285536102,0.7777777777777778,0.0363696483726653,0.7301587301587302,0.0274928699614107,0.753968253968254,0.0068732174903526,-0.002306522302444,0.0096840049573638,0.0072819237221151,0.0023119284091383
val,0.8697751622151803,0.0070179664730547,0.8014184397163121,0.0650010736873169,0.7872340425531914,0.0212765957446808,0.7943262411347517,0.0429941689822062,-0.0023344906090023,0.0110814288890459,0.0074885066583419,0.0031239296569717
