seed,mean_delta,std_delta,min_delta,max_delta,fraction_near_negative_bound,fraction_near_positive_bound,nonzero_variance,nonzero_safe_bound_fraction,has_both_delta_directions
0,0.007234697065444894,0.0058764086039882635,-0.0011183584574609,0.0237375367432832,0.0,0.0,True,1.0,True
42,-0.014475785586097419,0.011089156086125238,-0.038741648197174,-0.0001249871129402,0.0,0.0,True,1.0,False
3407,0.00023761669364557583,0.005499955284912412,-0.0198809877038002,0.0091306678950786,0.0,0.0,True,1.0,True
