seed,n,mean_abs_delta,max_abs_delta,tp_to_fn,tn_to_fp
0,15,0.0012036111981917864,0.0023827692493796,0,0
42,28,0.003703270037346632,0.0059654512442648,0,0
3407,16,0.0012224700694786826,0.0036521300207823,0,0
