patient_id,seed,M1_weight,M2_weight,M3_weight,M4_weight,M5_weight,empty_slot_M1,empty_slot_M2,empty_slot_M3,empty_slot_M4,empty_slot_M5,M1_norm,M2_norm,M3_norm,M4_norm,M5_norm,node_weight_entropy,max_weight
10001110,0,0.164216861128807,0.0611020922660827,0.1735300868749618,0.1785760968923568,0.4225749373435974,False,True,False,False,False,16.081558227539062,4.0961737632751465,16.126001358032227,16.140541076660156,16.115169525146484,1.4430247440624808,0.4225749373435974
10003245,0,0.1140666976571083,0.0383770577609539,0.1090311706066131,0.4566746950149536,0.2818504273891449,False,True,False,False,False,16.069599151611328,4.0961737632751465,16.125978469848633,16.040647506713867,16.00543212890625,1.3292461603321122,0.4566746950149536
10004992,0,0.0069880150258541,0.002671661786735,0.007620261516422,0.6440142393112183,0.3387058079242706,False,True,False,False,False,16.061790466308594,4.0961737632751465,16.12322235107422,16.04507827758789,16.029067993164062,0.7377580286368943,0.6440142393112183
10005075,0,0.1691175997257232,0.0645633861422538,0.1834016591310501,0.1063493639230728,0.4765680432319641,False,True,False,False,False,16.081684112548828,4.0961737632751465,16.12548828125,16.102985382080078,16.118661880493164,1.3800606798986026,0.4765680432319641
10005340,0,0.0615020506083965,0.0218133963644504,0.0619493015110492,0.6505322456359863,0.2042029500007629,False,True,False,False,False,16.080739974975586,4.0961737632751465,16.125398635864258,16.01602554321289,16.057958602905273,1.03137018894178,0.6505322456359863
10007169,0,0.0202949792146682,0.0063261976465582,0.0179931875318288,0.3521876931190491,0.6031979918479919,False,True,False,False,False,16.060707092285156,4.0961737632751465,16.124780654907227,16.006244659423828,16.014835357666016,0.8558819275328113,0.6031979918479919
10007340,0,0.0568776316940784,0.0253413561731576,0.0722309127449989,0.4993593692779541,0.3461907804012298,False,True,False,False,False,16.07724952697754,4.0961737632751465,16.12352180480957,16.08439826965332,16.03597640991211,1.1600089522305799,0.4993593692779541
10007452,0,0.0539202131330966,0.0115059651434421,0.0327106900513172,0.5216574668884277,0.3802056312561035,False,True,False,False,False,16.046432495117188,4.0961737632751465,16.125045776367188,15.997530937194824,15.992742538452148,1.0278463920735261,0.5216574668884277
10009149,0,0.1689861565828323,0.0630563125014305,0.1797113567590713,0.1733399778604507,0.4149062633514404,False,True,False,False,False,16.081037521362305,4.0961737632751465,16.123628616333008,16.133556365966797,16.12264633178711,1.4519471204468897,0.4149062633514404
10010767,0,0.0139597235247492,0.0085544511675834,0.0244051795452833,0.0224944595247507,0.9305861592292786,False,True,False,False,False,16.08380889892578,4.0961737632751465,16.123090744018555,16.069541931152344,15.950936317443848,0.3432777086376444,0.9305861592292786
