seed,epoch,selected_by_val_auc,train_total_loss,train_classification_loss,train_residual_loss,train_positive_preservation_loss,val_AUC,val_Sensitivity,val_Specificity,val_Balanced_ACC,val_TN,val_FP,val_FN,val_TP,val_positive_probability_mean,val_negative_probability_mean,val_positive_negative_gap,val_mean_delta_c26sm,val_std_delta_c26sm,val_mean_positive_delta_c26sm,val_mean_negative_delta_c26sm,val_fraction_positive_delta_below_minus_0_10,val_fraction_delta_near_positive_bound,val_fraction_delta_near_negative_bound,val_node_weight_entropy,val_fraction_node_weight_max_above_0_90,val_mechanism_core_norm,val_mechanism_final_norm,val_pairwise_inversion_count,val_n_rows,val_relation_gate_image_morphology,val_relation_gate_text_morphology,val_relation_gate_bio_immune,val_relation_gate_bio_function,val_relation_gate_text_opposition,val_relation_gate_text_temporal,val_mean_node_weight_M1,val_mean_node_weight_M2,val_mean_node_weight_M3,val_mean_node_weight_M4,val_mean_node_weight_M5
0,1,False,0.5274424654561163,0.527403790429728,0.0386771941414145,0.0,0.8650973291081937,0.7021276595744681,0.8936170212765957,0.7978723404255319,42,5,14,33,0.5870791131511648,0.2646668645691998,0.3224122485819649,0.2876142061890123,0.1035260907133674,0.3367740451655489,0.2384543672124756,0.0,0.0,0.0,1.5115633431661983,0.0,8.378900502590422,16.04967744299706,298,94,0.5000250339508057,0.499975174665451,0.5,0.5,0.5,0.5,0.1333340522932245,0.1432801962215849,0.2786205634474754,0.1739230927159177,0.2708420953217973
0,2,False,0.5038755467988008,0.5037286740462512,0.1223786989017235,0.0012246535239827,0.8705296514259845,0.723404255319149,0.8723404255319149,0.7978723404255319,41,6,13,34,0.5965443661713854,0.2526519549812408,0.3438924111901446,0.253543091971338,0.2640552584065791,0.378109507381599,0.128976676561077,0.0212765957446808,0.0,0.0,1.166689396661707,0.0,10.926211346971227,16.045007462197162,286,94,0.4994933307170868,0.5005064606666565,0.5,0.5,0.5,0.5,0.0898820059671205,0.1101567573211294,0.185244603577922,0.1482357261900572,0.466480907726478
0,3,False,0.4954801860037229,0.4952152326999121,0.1623197637054304,0.0051317188321359,0.8705296514259846,0.7446808510638298,0.8297872340425532,0.7872340425531914,39,8,12,35,0.5956714623310464,0.2450503500852179,0.3506211122458285,0.2126646019032898,0.3489304033610482,0.3703404005537641,0.0549888032528155,0.0851063829787234,0.0,0.0,1.11753415163748,0.0212765957446808,11.275940955953397,16.04415749488993,286,94,0.4992659986019134,0.5007334351539612,0.5,0.5,0.5,0.5,0.0850132934927464,0.1048105217149837,0.1703635166260473,0.1387960299889141,0.5010166379444777
0,4,False,0.4914964614127645,0.4911984168733193,0.18073180914912,0.0058656524348732,0.8673607967406066,0.7446808510638298,0.8297872340425532,0.7872340425531914,39,8,12,35,0.5997539333840634,0.2525463910337458,0.3472075423503175,0.2497721056136837,0.3398332305193745,0.393804752525497,0.1057394587018705,0.0851063829787234,0.3191489361702128,0.0,1.1787338086062151,0.0,10.966701918459954,16.044616151363293,293,94,0.4990977942943573,0.5009021162986755,0.5,0.5,0.5,0.5,0.091933592727923,0.1068562144869344,0.173320387351386,0.154897121534227,0.4729926813631616
0,5,False,0.4925113656860314,0.4921450469864915,0.1879977461024625,0.008916103459944,0.8682661837935718,0.7446808510638298,0.8297872340425532,0.7872340425531914,39,8,12,35,0.5997430601335586,0.2521079096229786,0.3476351505105799,0.2462520955298888,0.355574698756276,0.3932780656230418,0.0992261254367359,0.0851063829787234,0.425531914893617,0.0,1.1626919544884184,0.0,11.09154338532306,16.044305943428203,291,94,0.4990179538726806,0.5009819865226746,0.5,0.5,0.5,0.5,0.0902242526174225,0.1052626572014328,0.165943591201559,0.157164832933786,0.4814046663727532
0,6,False,0.4899582836209543,0.4895822386078487,0.1979354826227718,0.0089055131750785,0.8673607967406066,0.7446808510638298,0.8297872340425532,0.7872340425531914,39,8,12,35,0.6004775045241447,0.2542114907954919,0.3462660137286528,0.2555401552210938,0.3589283073653306,0.3979485803977289,0.1131317300444587,0.0851063829787234,0.4361702127659574,0.0,1.1713931426023234,0.0,11.051880319067772,16.044447026354202,293,94,0.4990323483943939,0.5009676814079285,0.5,0.5,0.5,0.5,0.0908231578390807,0.1043442021560003,0.167442335568844,0.1641162897836654,0.4732740131860717
0,7,False,0.4885112518901067,0.4880188790378191,0.2015245710777131,0.0145424541011946,0.8718877320054322,0.7446808510638298,0.851063829787234,0.7978723404255319,40,7,12,35,0.5952610295820744,0.2434439429854776,0.3518170865965968,0.2025088032093295,0.3952961252272699,0.3663791352882981,0.0386384711303609,0.1276595744680851,0.4361702127659574,0.0531914893617021,1.0826376107542497,0.1276595744680851,11.55248116939626,16.04358441778954,283,94,0.4991531372070312,0.5008475184440613,0.5,0.5,0.5,0.5,0.0818855813853046,0.102420126043379,0.1501755209223545,0.1641199034044241,0.5013988642220167
0,8,False,0.487987566467942,0.4874494501099681,0.2067411095397361,0.0165687717299982,0.8705296514259846,0.7446808510638298,0.8297872340425532,0.7872340425531914,39,8,12,35,0.5994345309569481,0.2529433033964101,0.3464912275605379,0.2502230768825145,0.3697244592219987,0.3919876131447071,0.1084585406203219,0.1063829787234042,0.4680851063829787,0.0425531914893617,1.1604778006854315,0.0106382978723404,11.161669898540415,16.04426872983892,286,94,0.4990597665309906,0.5009406208992004,0.5,0.5,0.5,0.5,0.0904906437276525,0.1045946974723421,0.1563163822160122,0.1899102954094872,0.4586879823832436
0,9,False,0.4870487449332973,0.4866148774197559,0.2115020691262965,0.0111182502606599,0.866908103214124,0.7446808510638298,0.8297872340425532,0.7872340425531914,39,8,12,35,0.6032798973486778,0.2600209273873491,0.3432589699613286,0.2841676270807201,0.3523347813725228,0.4140229071787697,0.1543123469826706,0.0425531914893617,0.5212765957446809,0.0425531914893617,1.1724863588110952,0.0,11.111577257196954,16.0442997952725,294,94,0.4988574683666229,0.5011435151100159,0.5,0.5,0.5,0.5,0.0911650829254946,0.1019733741067032,0.1541484956471051,0.1962277772341003,0.4564852727220413
0,10,False,0.485856101706328,0.4853805315415591,0.2126680528683378,0.0131450824390184,0.8709823449524672,0.7446808510638298,0.8297872340425532,0.7872340425531914,39,8,12,35,0.6023797795493552,0.2564858030725984,0.3458939764767568,0.2704788708658096,0.3622281384645602,0.4083609818530447,0.1325967598785745,0.0425531914893617,0.5,0.0638297872340425,1.1277028407738523,0.0319148936170212,11.383820082278962,16.043664364104576,285,94,0.4988807141780853,0.5011206269264221,0.5,0.5,0.5,0.5,0.085845712007598,0.0966033747350361,0.1353694157318231,0.2053827773284246,0.4767987188744418
