split,AUC_mean,AUC_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Balanced_ACC_mean,Balanced_ACC_std,mean_delta_c26sm_mean,mean_delta_c26sm_std,std_delta_c26sm_mean,std_delta_c26sm_std
test,0.8408919123204838,0.0016364803548458,0.7698412698412698,0.0363696483726653,0.7301587301587302,0.0274928699614107,0.75,0.0119047619047618,0.1470420128067157,0.2010220613267989,0.2623539794493235,0.1686959151221724
val,0.8702278557416628,0.0084731523412502,0.7801418439716311,0.0442907659460879,0.8085106382978723,0.0212765957446808,0.7943262411347517,0.0221453829730439,0.172279747364818,0.2064743951574988,0.2340186607095392,0.1597484964782453
